TimeStamp,bb_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,0.315,59.47,59.48,59.47,1299.0,1,-59.48,-0.01,Buy
2025-05-20 15:31:00,0.339,59.44,59.44,59.43,2565.0,1,-59.48,-0.05,Hold
2025-05-20 15:32:00,0.365,59.41,59.41,59.4,1415.0,1,-59.48,-0.08,Hold
2025-05-20 15:33:00,0.33,59.44,59.45,59.44,785.0,1,-59.48,-0.04,Hold
2025-05-20 15:34:00,0.304,59.46,59.47,59.46,1401.0,1,-59.48,-0.02,Hold
2025-05-20 15:35:00,0.391,59.37,59.38,59.37,2324.0,1,-59.48,-0.11,Hold
2025-05-20 15:36:00,0.46,59.3,59.3,59.29,2227.0,1,-59.48,-0.19,Hold
2025-05-20 15:37:00,0.428,59.33,59.33,59.32,1016.0,1,-59.48,-0.16,Hold
2025-05-20 15:38:00,0.383,59.37,59.37,59.36,1729.0,1,-59.48,-0.12,Hold
2025-05-20 15:39:00,0.327,59.42,59.43,59.42,1704.0,1,-59.48,-0.06,Hold
2025-05-20 15:40:00,0.395,59.35,59.35,59.34,1141.0,1,-59.48,-0.14,Hold
2025-05-20 15:41:00,0.412,59.33,59.33,59.32,1191.0,1,-59.48,-0.16,Hold
2025-05-20 15:42:00,0.483,59.26,59.26,59.25,2372.0,1,-59.48,-0.23,Hold
2025-05-20 15:43:00,0.409,59.33,59.33,59.32,1921.0,1,-59.48,-0.16,Hold
2025-05-20 15:44:00,0.488,59.25,59.26,59.25,3617.0,1,-59.48,-0.23,Hold
2025-05-20 15:45:00,0.466,59.27,59.27,59.26,1426.0,1,-59.48,-0.22,Hold
2025-05-20 15:46:00,0.471,59.26,59.26,59.25,1670.0,1,-59.48,-0.23,Hold
2025-05-20 15:47:00,0.521,59.21,59.22,59.21,1533.0,1,-59.48,-0.27,Hold
2025-05-20 15:48:00,0.428,59.3,59.31,59.3,1374.0,1,-59.48,-0.18,Hold
2025-05-20 15:49:00,0.455,59.27,59.27,59.26,888.0,1,-59.48,-0.22,Hold
2025-05-20 15:50:00,0.473,59.25,59.25,59.24,922.0,1,-59.48,-0.24,Hold
2025-05-20 15:51:00,0.45,59.27,59.28,59.27,1176.0,1,-59.48,-0.21,Hold
2025-05-20 15:52:00,0.357,59.36,59.36,59.35,999.0,1,-59.48,-0.13,Hold
2025-05-20 15:53:00,0.294,59.42,59.42,59.41,1196.0,1,-59.48,-0.07,Hold
2025-05-20 15:54:00,0.25,59.46,59.46,59.45,1295.0,1,-59.48,-0.03,Hold
2025-05-20 15:55:00,0.267,59.44,59.45,59.44,1370.0,1,-59.48,-0.04,Hold
2025-05-20 15:56:00,0.273,59.43,59.44,59.43,1204.0,1,-59.48,-0.05,Hold
2025-05-20 15:57:00,0.28,59.42,59.43,59.42,595.0,1,-59.48,-0.06,Hold
2025-05-20 15:58:00,0.348,59.35,59.36,59.35,1315.0,1,-59.48,-0.13,Hold
2025-05-20 15:59:00,0.315,59.38,59.39,59.38,664.0,1,-59.48,-0.1,Hold
2025-05-20 16:00:00,0.332,59.36,59.36,59.35,327.0,1,-59.48,-0.13,Hold
2025-05-20 16:01:00,0.38,59.31,59.31,59.3,643.0,1,-59.48,-0.18,Hold
2025-05-20 16:02:00,0.398,59.29,59.3,59.29,428.0,1,-59.48,-0.19,Hold
2025-05-20 16:03:00,0.325,59.36,59.36,59.35,945.0,1,-59.48,-0.13,Hold
2025-05-20 16:04:00,0.312,59.37,59.38,59.37,744.0,1,-59.48,-0.11,Hold
2025-05-20 16:05:00,0.212,59.47,59.47,59.46,751.0,1,-59.48,-0.02,Hold
2025-05-20 16:06:00,0.23,59.45,59.45,59.44,770.0,1,-59.48,-0.04,Hold
2025-05-20 16:07:00,0.268,59.41,59.42,59.41,1013.0,1,-59.48,-0.07,Hold
2025-05-20 16:08:00,0.207,59.47,59.47,59.46,930.0,1,-59.48,-0.02,Hold
2025-05-20 16:09:00,0.236,59.44,59.44,59.43,846.0,1,-59.48,-0.05,Hold
2025-05-20 16:10:00,0.205,59.47,59.47,59.46,1194.0,1,-59.48,-0.02,Hold
2025-05-20 16:11:00,0.215,59.46,59.46,59.45,955.0,1,-59.48,-0.03,Hold
2025-05-20 16:12:00,0.214,59.46,59.46,59.45,1127.0,1,-59.48,-0.03,Hold
2025-05-20 16:13:00,0.202,59.47,59.47,59.46,358.0,1,-59.48,-0.02,Hold
2025-05-20 16:14:00,0.231,59.44,59.44,59.43,1327.0,1,-59.48,-0.05,Hold
2025-05-20 16:15:00,0.18,59.49,59.49,59.48,539.0,1,-59.48,0.0,Hold
2025-05-20 16:16:00,0.179,59.49,59.5,59.49,1551.0,1,-59.48,0.01,Hold
2025-05-20 16:17:00,0.168,59.5,59.5,59.49,1038.0,1,-59.48,0.01,Hold
