TimeStamp,adx_feature,close,ask,bid,Position,Cash,NetValue,Action
2025-05-20 15:30:00,-17.19543121913964,59.47,59.48,59.47,0,0.0,0.0,Hold
2025-05-20 15:31:00,-86.39141996831752,59.44,59.44,59.43,0,0.0,0.0,Hold
2025-05-20 15:32:00,-73.14897427206068,59.41,59.41,59.4,0,0.0,0.0,Hold
2025-05-20 15:33:00,-36.1745745830083,59.44,59.45,59.44,0,0.0,0.0,Hold
2025-05-20 15:34:00,-4.515699132752785,59.46,59.47,59.46,0,0.0,0.0,Hold
2025-05-20 15:35:00,-46.57548357732837,59.37,59.38,59.37,0,0.0,0.0,Hold
2025-05-20 15:36:00,-89.48142900686896,59.3,59.3,59.29,0,0.0,0.0,Hold
2025-05-20 15:37:00,-81.1389323552033,59.33,59.33,59.32,0,0.0,0.0,Hold
2025-05-20 15:38:00,-28.20123164006789,59.37,59.37,59.36,0,0.0,0.0,Hold
2025-05-20 15:39:00,-5.147329631941565,59.42,59.43,59.42,0,0.0,0.0,Hold
2025-05-20 15:40:00,-7.494374869466553,59.35,59.35,59.34,0,0.0,0.0,Hold
2025-05-20 15:41:00,-14.22595168272261,59.33,59.33,59.32,0,0.0,0.0,Hold
2025-05-20 15:42:00,-52.46525707081751,59.26,59.26,59.25,0,0.0,0.0,Hold
2025-05-20 15:43:00,-45.79874350446315,59.33,59.33,59.32,0,0.0,0.0,Hold
2025-05-20 15:44:00,-43.70544202905393,59.25,59.26,59.25,0,0.0,0.0,Hold
2025-05-20 15:45:00,-45.22173470234184,59.27,59.27,59.26,0,0.0,0.0,Hold
2025-05-20 15:46:00,-31.432153058402232,59.26,59.26,59.25,0,0.0,0.0,Hold
2025-05-20 15:47:00,-40.637896936049366,59.21,59.22,59.21,0,0.0,0.0,Hold
2025-05-20 15:48:00,-5.004073930058657,59.3,59.31,59.3,0,0.0,0.0,Hold
2025-05-20 15:49:00,-3.629696484158772,59.27,59.27,59.26,0,0.0,0.0,Hold
