TimeStamp,obv_feature,close,ask,bid,Position,Cash,NetValue,Action
2025-05-20 15:30:00,88.69999999999993,59.47,59.48,59.47,1,-59.48,-0.00999999999999801,Buy
2025-05-20 15:31:00,-181.0,59.44,59.44,59.43,0,-0.04999999999999716,-0.04999999999999716,Sell
2025-05-20 15:32:00,-329.99999999999994,59.41,59.41,59.4,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:33:00,-248.10000000000002,59.44,59.45,59.44,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:34:00,-111.60000000000001,59.46,59.47,59.46,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:35:00,-322.20000000000005,59.37,59.38,59.37,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:36:00,-535.8,59.3,59.3,59.29,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:37:00,-427.30000000000007,59.33,59.33,59.32,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:38:00,-257.5,59.37,59.37,59.36,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:39:00,-319.5,59.42,59.43,59.42,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:40:00,-303.70000000000005,59.35,59.35,59.34,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:41:00,-166.29999999999973,59.33,59.33,59.32,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:42:00,-262.0,59.26,59.26,59.25,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:43:00,-148.4000000000001,59.33,59.33,59.32,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:44:00,-650.2000000000003,59.25,59.26,59.25,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:45:00,-275.1999999999998,59.27,59.27,59.26,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:46:00,-219.5,59.26,59.26,59.25,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:47:00,-474.39999999999964,59.21,59.22,59.21,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:48:00,-509.90000000000055,59.3,59.31,59.3,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:49:00,-769.0999999999995,59.27,59.27,59.26,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:50:00,-747.2000000000007,59.25,59.25,59.24,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:51:00,-510.5,59.27,59.28,59.27,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:52:00,-173.39999999999964,59.36,59.36,59.35,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:53:00,-245.89999999999964,59.42,59.42,59.41,0,-0.04999999999999716,-0.04999999999999716,Hold
2025-05-20 15:54:00,245.29999999999927,59.46,59.46,59.45,1,-59.51,-0.05999999999999517,Buy
2025-05-20 15:55:00,-34.29999999999927,59.44,59.45,59.44,0,-0.07000000000000028,-0.07000000000000028,Sell
2025-05-20 15:56:00,12.299999999999272,59.43,59.44,59.43,1,-59.51,-0.0799999999999983,Buy
2025-05-20 15:57:00,106.10000000000036,59.42,59.43,59.42,1,-59.51,-0.0899999999999963,Hold
2025-05-20 15:58:00,-162.80000000000018,59.35,59.36,59.35,0,-0.1599999999999966,-0.1599999999999966,Sell
2025-05-20 15:59:00,-7.599999999999454,59.38,59.39,59.38,0,-0.1599999999999966,-0.1599999999999966,Hold
2025-05-20 16:00:00,51.899999999999636,59.36,59.36,59.35,1,-59.519999999999996,-0.1699999999999946,Buy
2025-05-20 16:01:00,-130.0,59.31,59.31,59.3,0,-0.21999999999999886,-0.21999999999999886,Sell
2025-05-20 16:02:00,-272.6999999999998,59.29,59.3,59.29,0,-0.21999999999999886,-0.21999999999999886,Hold
2025-05-20 16:03:00,-297.8000000000002,59.36,59.36,59.35,0,-0.21999999999999886,-0.21999999999999886,Hold
2025-05-20 16:04:00,-352.89999999999964,59.37,59.38,59.37,0,-0.21999999999999886,-0.21999999999999886,Hold
2025-05-20 16:05:00,-140.8000000000011,59.47,59.47,59.46,0,-0.21999999999999886,-0.21999999999999886,Hold
2025-05-20 16:06:00,-97.39999999999964,59.45,59.45,59.44,0,-0.21999999999999886,-0.21999999999999886,Hold
2025-05-20 16:07:00,-139.1999999999989,59.41,59.42,59.41,0,-0.21999999999999886,-0.21999999999999886,Hold
2025-05-20 16:08:00,85.29999999999927,59.47,59.47,59.46,1,-59.69,-0.22999999999999687,Buy
2025-05-20 16:09:00,-65.70000000000073,59.44,59.44,59.43,0,-0.259999999999998,-0.259999999999998,Sell
2025-05-20 16:10:00,86.40000000000146,59.47,59.47,59.46,1,-59.73,-0.269999999999996,Buy
2025-05-20 16:11:00,55.19999999999891,59.46,59.46,59.45,1,-59.73,-0.27999999999999403,Hold
2025-05-20 16:12:00,210.70000000000073,59.46,59.46,59.45,1,-59.73,-0.27999999999999403,Hold
2025-05-20 16:13:00,152.0,59.47,59.47,59.46,1,-59.73,-0.269999999999996,Hold
2025-05-20 16:14:00,-55.100000000000364,59.44,59.44,59.43,0,-0.29999999999999716,-0.29999999999999716,Sell
2025-05-20 16:15:00,-76.29999999999927,59.49,59.49,59.48,0,-0.29999999999999716,-0.29999999999999716,Hold
2025-05-20 16:16:00,155.79999999999927,59.49,59.5,59.49,1,-59.8,-0.30999999999999517,Buy
2025-05-20 16:17:00,360.89999999999964,59.5,59.5,59.49,1,-59.8,-0.30999999999999517,Hold
2025-05-20 16:18:00,408.5,59.6,59.6,59.59,1,-59.8,-0.20999999999999375,Hold
2025-05-20 16:19:00,404.40000000000055,59.58,59.59,59.58,1,-59.8,-0.21999999999999886,Hold
2025-05-20 16:20:00,502.6999999999998,59.66,59.66,59.65,1,-59.8,-0.14999999999999858,Hold
2025-05-20 16:21:00,460.1999999999998,59.64,59.65,59.64,1,-59.8,-0.1599999999999966,Hold
2025-05-20 16:22:00,394.90000000000055,59.68,59.69,59.68,1,-59.8,-0.11999999999999744,Hold
2025-05-20 16:23:00,266.2999999999993,59.67,59.67,59.66,1,-59.8,-0.14000000000000057,Hold
2025-05-20 16:24:00,305.60000000000036,59.64,59.65,59.64,1,-59.8,-0.1599999999999966,Hold
2025-05-20 16:25:00,123.5,59.63,59.64,59.63,1,-59.8,-0.1699999999999946,Hold
2025-05-20 16:26:00,-151.39999999999964,59.62,59.63,59.62,0,-0.17999999999999972,-0.17999999999999972,Sell
2025-05-20 16:27:00,-339.8000000000002,59.6,59.6,59.59,0,-0.17999999999999972,-0.17999999999999972,Hold
2025-05-20 16:28:00,-578.3000000000002,59.55,59.55,59.54,0,-0.17999999999999972,-0.17999999999999972,Hold
