TimeStamp,bb_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,0.605,134.56,134.56,134.54,11174.0,1,-134.56,-0.02,Buy
2025-05-20 15:31:00,0.936,134.23,134.23,134.22,11973.0,1,-134.56,-0.34,Hold
2025-05-20 15:32:00,1.202,133.98,133.99,133.97,13204.0,1,-134.56,-0.59,Hold
2025-05-20 15:33:00,0.901,134.28,134.29,134.28,7635.0,1,-134.56,-0.28,Hold
2025-05-20 15:34:00,1.171,134.02,134.03,134.02,7187.0,1,-134.56,-0.54,Hold
2025-05-20 15:35:00,0.969,134.22,134.23,134.21,10485.0,1,-134.56,-0.35,Hold
2025-05-20 15:36:00,1.364,133.84,133.84,133.83,9031.0,1,-134.56,-0.73,Hold
2025-05-20 15:37:00,1.449,133.77,133.78,133.77,10506.0,1,-134.56,-0.79,Hold
2025-05-20 15:38:00,1.22,134.0,134.01,134.0,7232.0,1,-134.56,-0.56,Hold
2025-05-20 15:39:00,1.297,133.93,133.94,133.93,7571.0,1,-134.56,-0.63,Hold
2025-05-20 15:40:00,1.312,133.92,133.93,133.91,6229.0,1,-134.56,-0.65,Hold
2025-05-20 15:41:00,1.504,133.74,133.75,133.74,6738.0,1,-134.56,-0.82,Hold
2025-05-20 15:42:00,1.45,133.8,133.81,133.8,6770.0,1,-134.56,-0.76,Hold
2025-05-20 15:43:00,1.319,133.93,133.93,133.92,4578.0,1,-134.56,-0.64,Hold
2025-05-20 15:44:00,1.484,133.77,133.78,133.76,7038.0,1,-134.56,-0.8,Hold
2025-05-20 15:45:00,1.611,133.65,133.65,133.64,5002.0,1,-134.56,-0.92,Hold
2025-05-20 15:46:00,1.752,133.52,133.53,133.52,7769.0,1,-134.56,-1.04,Hold
2025-05-20 15:47:00,2.141,133.16,133.17,133.16,13609.0,1,-134.56,-1.4,Hold
2025-05-20 15:48:00,2.144,133.18,133.18,133.17,15032.0,1,-134.56,-1.39,Hold
2025-05-20 15:49:00,2.386,132.97,132.97,132.96,8602.0,1,-134.56,-1.6,Hold
2025-05-20 15:50:00,2.49,132.9,132.9,132.89,8770.0,1,-134.56,-1.67,Hold
2025-05-20 15:51:00,2.307,133.1,133.11,133.1,10150.0,1,-134.56,-1.46,Hold
2025-05-20 15:52:00,1.938,133.47,133.47,133.46,10504.0,1,-134.56,-1.1,Hold
2025-05-20 15:53:00,1.896,133.51,133.52,133.51,8445.0,1,-134.56,-1.05,Hold
