TimeStamp,rsi_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,20.666,134.56,134.56,134.54,11174.0,1,-134.56,-0.02,Buy
2025-05-20 15:31:00,32.198,134.23,134.23,134.22,11973.0,1,-134.56,-0.34,Hold
2025-05-20 15:32:00,38.227,133.98,133.99,133.97,13204.0,1,-134.56,-0.59,Hold
2025-05-20 15:33:00,26.618,134.28,134.29,134.28,7635.0,1,-134.56,-0.28,Hold
2025-05-20 15:34:00,32.537,134.02,134.03,134.02,7187.0,1,-134.56,-0.54,Hold
2025-05-20 15:35:00,26.215,134.22,134.23,134.21,10485.0,1,-134.56,-0.35,Hold
2025-05-20 15:36:00,33.688,133.84,133.84,133.83,9031.0,1,-134.56,-0.73,Hold
2025-05-20 15:37:00,34.871,133.77,133.78,133.77,10506.0,1,-134.56,-0.79,Hold
2025-05-20 15:38:00,28.195,134.0,134.01,134.0,7232.0,1,-134.56,-0.56,Hold
2025-05-20 15:39:00,29.553,133.93,133.94,133.93,7571.0,1,-134.56,-0.63,Hold
2025-05-20 15:40:00,29.753,133.92,133.93,133.91,6229.0,1,-134.56,-0.65,Hold
2025-05-20 15:41:00,33.257,133.74,133.75,133.74,6738.0,1,-134.56,-0.82,Hold
2025-05-20 15:42:00,31.349,133.8,133.81,133.8,6770.0,1,-134.56,-0.76,Hold
2025-05-20 15:43:00,27.335,133.93,133.93,133.92,4578.0,1,-134.56,-0.64,Hold
2025-05-20 15:44:00,30.724,133.77,133.78,133.76,7038.0,1,-134.56,-0.8,Hold
2025-05-20 15:45:00,33.08,133.65,133.65,133.64,5002.0,1,-134.56,-0.92,Hold
2025-05-20 15:46:00,35.484,133.52,133.53,133.52,7769.0,1,-134.56,-1.04,Hold
2025-05-20 15:47:00,41.072,133.16,133.17,133.16,13609.0,1,-134.56,-1.4,Hold
2025-05-20 15:48:00,40.393,133.18,133.18,133.17,15032.0,1,-134.56,-1.39,Hold
2025-05-20 15:49:00,43.264,132.97,132.97,132.96,8602.0,1,-134.56,-1.6,Hold
2025-05-20 15:50:00,44.159,132.9,132.9,132.89,8770.0,1,-134.56,-1.67,Hold
2025-05-20 15:51:00,37.267,133.1,133.11,133.1,10150.0,1,-134.56,-1.46,Hold
2025-05-20 15:52:00,26.803,133.47,133.47,133.46,10504.0,1,-134.56,-1.1,Hold
2025-05-20 15:53:00,25.797,133.51,133.52,133.51,8445.0,1,-134.56,-1.05,Hold
2025-05-20 15:54:00,23.758,133.59,133.59,133.58,8876.0,1,-134.56,-0.98,Hold
2025-05-20 15:55:00,31.798,133.16,133.17,133.16,7252.0,1,-134.56,-1.4,Hold
2025-05-20 15:56:00,28.987,133.27,133.28,133.27,5467.0,1,-134.56,-1.29,Hold
2025-05-20 15:57:00,30.559,133.18,133.2,133.18,6082.0,1,-134.56,-1.38,Hold
2025-05-20 15:58:00,34.159,132.96,132.97,132.96,7630.0,1,-134.56,-1.6,Hold
2025-05-20 15:59:00,29.406,133.14,133.15,133.14,5427.0,1,-134.56,-1.42,Hold
2025-05-20 16:00:00,29.146,133.15,133.15,133.14,6006.0,1,-134.56,-1.42,Hold
2025-05-20 16:01:00,32.17,132.98,132.98,132.97,6339.0,1,-134.56,-1.59,Hold
2025-05-20 16:02:00,33.367,132.91,132.92,132.91,6130.0,1,-134.56,-1.65,Hold
2025-05-20 16:03:00,28.811,133.07,133.08,133.07,4878.0,1,-134.56,-1.49,Hold
2025-05-20 16:04:00,28.529,133.08,133.09,133.08,4092.0,1,-134.56,-1.48,Hold
2025-05-20 16:05:00,26.499,133.15,133.15,133.13,5131.0,1,-134.56,-1.43,Hold
