TimeStamp,macd_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,-0.036,134.56,134.56,134.54,11174.0,0,0.0,0.0,Hold
2025-05-20 15:31:00,-0.05,134.23,134.23,134.22,11973.0,0,0.0,0.0,Hold
2025-05-20 15:32:00,-0.077,133.98,133.99,133.97,13204.0,0,0.0,0.0,Hold
2025-05-20 15:33:00,-0.081,134.28,134.29,134.28,7635.0,0,0.0,0.0,Hold
2025-05-20 15:34:00,-0.099,134.02,134.03,134.02,7187.0,0,0.0,0.0,Hold
2025-05-20 15:35:00,-0.102,134.22,134.23,134.21,10485.0,0,0.0,0.0,Hold
2025-05-20 15:36:00,-0.126,133.84,133.84,133.83,9031.0,0,0.0,0.0,Hold
2025-05-20 15:37:00,-0.151,133.77,133.78,133.77,10506.0,0,0.0,0.0,Hold
2025-05-20 15:38:00,-0.156,134.0,134.01,134.0,7232.0,0,0.0,0.0,Hold
2025-05-20 15:39:00,-0.164,133.93,133.94,133.93,7571.0,0,0.0,0.0,Hold
2025-05-20 15:40:00,-0.17,133.92,133.93,133.91,6229.0,0,0.0,0.0,Hold
2025-05-20 15:41:00,-0.185,133.74,133.75,133.74,6738.0,0,0.0,0.0,Hold
2025-05-20 15:42:00,-0.192,133.8,133.81,133.8,6770.0,0,0.0,0.0,Hold
2025-05-20 15:43:00,-0.189,133.93,133.93,133.92,4578.0,0,0.0,0.0,Hold
2025-05-20 15:44:00,-0.195,133.77,133.78,133.76,7038.0,0,0.0,0.0,Hold
2025-05-20 15:45:00,-0.206,133.65,133.65,133.64,5002.0,0,0.0,0.0,Hold
2025-05-20 15:46:00,-0.221,133.52,133.53,133.52,7769.0,0,0.0,0.0,Hold
2025-05-20 15:47:00,-0.255,133.16,133.17,133.16,13609.0,0,0.0,0.0,Hold
2025-05-20 15:48:00,-0.28,133.18,133.18,133.17,15032.0,0,0.0,0.0,Hold
2025-05-20 15:49:00,-0.313,132.97,132.97,132.96,8602.0,0,0.0,0.0,Hold
2025-05-20 15:50:00,-0.343,132.9,132.9,132.89,8770.0,0,0.0,0.0,Hold
2025-05-20 15:51:00,-0.353,133.1,133.11,133.1,10150.0,0,0.0,0.0,Hold
2025-05-20 15:52:00,-0.337,133.47,133.47,133.46,10504.0,0,0.0,0.0,Hold
2025-05-20 15:53:00,-0.319,133.51,133.52,133.51,8445.0,0,0.0,0.0,Hold
2025-05-20 15:54:00,-0.296,133.59,133.59,133.58,8876.0,0,0.0,0.0,Hold
2025-05-20 15:55:00,-0.3,133.16,133.17,133.16,7252.0,0,0.0,0.0,Hold
2025-05-20 15:56:00,-0.294,133.27,133.28,133.27,5467.0,0,0.0,0.0,Hold
2025-05-20 15:57:00,-0.292,133.18,133.2,133.18,6082.0,0,0.0,0.0,Hold
2025-05-20 15:58:00,-0.302,132.96,132.97,132.96,7630.0,0,0.0,0.0,Hold
2025-05-20 15:59:00,-0.297,133.14,133.15,133.14,5427.0,0,0.0,0.0,Hold
2025-05-20 16:00:00,-0.289,133.15,133.15,133.14,6006.0,0,0.0,0.0,Hold
2025-05-20 16:01:00,-0.291,132.98,132.98,132.97,6339.0,0,0.0,0.0,Hold
2025-05-20 16:02:00,-0.294,132.91,132.92,132.91,6130.0,0,0.0,0.0,Hold
2025-05-20 16:03:00,-0.284,133.07,133.08,133.07,4878.0,0,0.0,0.0,Hold
2025-05-20 16:04:00,-0.273,133.08,133.09,133.08,4092.0,0,0.0,0.0,Hold
2025-05-20 16:05:00,-0.257,133.15,133.15,133.13,5131.0,0,0.0,0.0,Hold
2025-05-20 16:06:00,-0.245,133.08,133.09,133.07,4120.0,0,0.0,0.0,Hold
2025-05-20 16:07:00,-0.25,132.8,132.81,132.8,8809.0,0,0.0,0.0,Hold
2025-05-20 16:08:00,-0.252,132.79,132.8,132.79,9001.0,0,0.0,0.0,Hold
2025-05-20 16:09:00,-0.253,132.76,132.77,132.75,5321.0,0,0.0,0.0,Hold
2025-05-20 16:10:00,-0.245,132.87,132.88,132.87,8188.0,0,0.0,0.0,Hold
2025-05-20 16:11:00,-0.24,132.81,132.82,132.81,5610.0,0,0.0,0.0,Hold
2025-05-20 16:12:00,-0.224,132.95,132.96,132.95,4103.0,0,0.0,0.0,Hold
2025-05-20 16:13:00,-0.209,132.95,132.95,132.94,3734.0,0,0.0,0.0,Hold
2025-05-20 16:14:00,-0.191,132.99,132.99,132.98,4677.0,0,0.0,0.0,Hold
2025-05-20 16:15:00,-0.16,133.22,133.22,133.21,5475.0,0,0.0,0.0,Hold
2025-05-20 16:16:00,-0.129,133.25,133.27,133.26,8064.0,0,0.0,0.0,Hold
2025-05-20 16:17:00,-0.098,133.29,133.3,133.29,4598.0,0,0.0,0.0,Hold
2025-05-20 16:18:00,-0.064,133.41,133.42,133.41,4251.0,0,0.0,0.0,Hold
2025-05-20 16:19:00,-0.037,133.34,133.34,133.33,5068.0,0,0.0,0.0,Hold
2025-05-20 16:20:00,-0.013,133.33,133.34,133.33,3467.0,0,0.0,0.0,Hold
2025-05-20 16:21:00,0.004,133.26,133.27,133.26,4893.0,1,-133.27,-0.01,Buy
2025-05-20 16:22:00,0.022,133.29,133.3,133.29,3692.0,1,-133.27,0.02,Hold
2025-05-20 16:23:00,0.032,133.2,133.21,133.2,3046.0,1,-133.27,-0.07,Hold
2025-05-20 16:24:00,0.036,133.11,133.11,133.1,4337.0,1,-133.27,-0.17,Hold
2025-05-20 16:25:00,0.038,133.07,133.08,133.07,4046.0,1,-133.27,-0.2,Hold
2025-05-20 16:26:00,0.053,133.27,133.27,133.26,4167.0,1,-133.27,-0.01,Hold
2025-05-20 16:27:00,0.059,133.15,133.16,133.15,2999.0,1,-133.27,-0.12,Hold
2025-05-20 16:28:00,0.053,132.96,132.96,132.95,7067.0,1,-133.27,-0.32,Hold
2025-05-20 16:29:00,0.044,132.89,132.9,132.89,3015.0,1,-133.27,-0.38,Hold
2025-05-20 16:30:00,0.034,132.83,132.83,132.82,4031.0,1,-133.27,-0.45,Hold
2025-05-20 16:31:00,0.035,132.99,133.0,132.99,6544.0,1,-133.27,-0.28,Hold
2025-05-20 16:32:00,0.035,132.95,132.95,132.94,4172.0,1,-133.27,-0.33,Hold
2025-05-20 16:33:00,0.047,133.14,133.14,133.13,3219.0,1,-133.27,-0.14,Hold
2025-05-20 16:34:00,0.059,133.15,133.15,133.14,3470.0,1,-133.27,-0.13,Hold
2025-05-20 16:35:00,0.073,133.21,133.23,133.21,3154.0,1,-133.27,-0.06,Hold
2025-05-20 16:36:00,0.085,133.19,133.19,133.18,4130.0,1,-133.27,-0.09,Hold
2025-05-20 16:37:00,0.103,133.32,133.33,133.32,3213.0,1,-133.27,0.05,Hold
2025-05-20 16:38:00,0.132,133.53,133.54,133.53,7262.0,1,-133.27,0.26,Hold
2025-05-20 16:39:00,0.161,133.59,133.59,133.58,7499.0,1,-133.27,0.31,Hold
2025-05-20 16:40:00,0.183,133.55,133.56,133.55,4366.0,1,-133.27,0.28,Hold
2025-05-20 16:41:00,0.198,133.5,133.51,133.5,6502.0,1,-133.27,0.23,Hold
2025-05-20 16:42:00,0.213,133.53,133.54,133.53,3590.0,1,-133.27,0.26,Hold
2025-05-20 16:43:00,0.225,133.51,133.51,133.5,3576.0,1,-133.27,0.23,Hold
2025-05-20 16:44:00,0.247,133.72,133.73,133.72,4611.0,1,-133.27,0.45,Hold
2025-05-20 16:45:00,0.266,133.74,133.75,133.74,5409.0,1,-133.27,0.47,Hold
2025-05-20 16:46:00,0.277,133.66,133.67,133.66,4047.0,1,-133.27,0.39,Hold
2025-05-20 16:47:00,0.288,133.7,133.71,133.7,3245.0,1,-133.27,0.43,Hold
2025-05-20 16:48:00,0.301,133.77,133.77,133.76,3003.0,1,-133.27,0.49,Hold
2025-05-20 16:49:00,0.302,133.62,133.63,133.62,2916.0,1,-133.27,0.35,Hold
2025-05-20 16:50:00,0.307,133.7,133.7,133.69,4531.0,1,-133.27,0.42,Hold
2025-05-20 16:51:00,0.302,133.57,133.58,133.57,3510.0,1,-133.27,0.3,Hold
2025-05-20 16:52:00,0.302,133.65,133.66,133.65,2965.0,1,-133.27,0.38,Hold
2025-05-20 16:53:00,0.311,133.82,133.83,133.82,4419.0,1,-133.27,0.55,Hold
2025-05-20 16:54:00,0.318,133.84,133.85,133.84,4906.0,1,-133.27,0.57,Hold
2025-05-20 16:55:00,0.326,133.87,133.87,133.86,3803.0,1,-133.27,0.59,Hold
2025-05-20 16:56:00,0.323,133.75,133.75,133.74,2719.0,1,-133.27,0.47,Hold
2025-05-20 16:57:00,0.314,133.65,133.65,133.64,4466.0,1,-133.27,0.37,Hold
2025-05-20 16:58:00,0.305,133.65,133.66,133.65,4832.0,1,-133.27,0.38,Hold
2025-05-20 16:59:00,0.291,133.57,133.58,133.57,3773.0,1,-133.27,0.3,Hold
2025-05-20 17:00:00,0.276,133.55,133.56,133.55,7336.0,1,-133.27,0.28,Hold
2025-05-20 17:01:00,0.266,133.6,133.6,133.59,3819.0,1,-133.27,0.32,Hold
2025-05-20 17:02:00,0.261,133.67,133.68,133.67,2305.0,1,-133.27,0.4,Hold
2025-05-20 17:03:00,0.254,133.65,133.65,133.64,3701.0,1,-133.27,0.37,Hold
2025-05-20 17:04:00,0.244,133.6,133.61,133.6,2596.0,1,-133.27,0.33,Hold
2025-05-20 17:05:00,0.227,133.48,133.48,133.47,3123.0,1,-133.27,0.2,Hold
2025-05-20 17:06:00,0.205,133.38,133.39,133.38,3050.0,1,-133.27,0.11,Hold
2025-05-20 17:07:00,0.194,133.51,133.52,133.51,4181.0,1,-133.27,0.24,Hold
2025-05-20 17:08:00,0.183,133.49,133.49,133.48,2865.0,1,-133.27,0.21,Hold
2025-05-20 17:09:00,0.167,133.41,133.42,133.41,1760.0,1,-133.27,0.14,Hold
2025-05-20 17:10:00,0.151,133.37,133.38,133.37,2897.0,1,-133.27,0.1,Hold
2025-05-20 17:11:00,0.143,133.48,133.49,133.48,21998.0,1,-133.27,0.21,Hold
2025-05-20 17:12:00,0.137,133.49,133.5,133.49,3443.0,1,-133.27,0.22,Hold
2025-05-20 17:13:00,0.129,133.45,133.46,133.45,2349.0,1,-133.27,0.18,Hold
2025-05-20 17:14:00,0.115,133.35,133.36,133.35,2686.0,1,-133.27,0.08,Hold
2025-05-20 17:15:00,0.107,133.42,133.43,133.42,3016.0,1,-133.27,0.15,Hold
2025-05-20 17:16:00,0.105,133.49,133.5,133.49,4430.0,1,-133.27,0.22,Hold
2025-05-20 17:17:00,0.11,133.61,133.62,133.61,2802.0,1,-133.27,0.34,Hold
2025-05-20 17:18:00,0.116,133.65,133.66,133.65,2379.0,1,-133.27,0.38,Hold
2025-05-20 17:19:00,0.116,133.57,133.57,133.56,2457.0,1,-133.27,0.29,Hold
2025-05-20 17:20:00,0.111,133.49,133.5,133.49,2416.0,1,-133.27,0.22,Hold
2025-05-20 17:21:00,0.112,133.58,133.59,133.58,1912.0,1,-133.27,0.31,Hold
2025-05-20 17:22:00,0.11,133.55,133.56,133.55,2553.0,1,-133.27,0.28,Hold
2025-05-20 17:23:00,0.106,133.51,133.51,133.5,2854.0,1,-133.27,0.23,Hold
2025-05-20 17:24:00,0.102,133.51,133.52,133.51,2863.0,1,-133.27,0.24,Hold
2025-05-20 17:25:00,0.102,133.57,133.58,133.57,2928.0,1,-133.27,0.3,Hold
2025-05-20 17:26:00,0.104,133.6,133.61,133.6,2696.0,1,-133.27,0.33,Hold
2025-05-20 17:27:00,0.106,133.63,133.65,133.64,3393.0,1,-133.27,0.37,Hold
2025-05-20 17:28:00,0.114,133.73,133.73,133.72,5057.0,1,-133.27,0.45,Hold
2025-05-20 17:29:00,0.123,133.76,133.76,133.75,3195.0,1,-133.27,0.48,Hold
2025-05-20 17:30:00,0.132,133.8,133.81,133.8,2767.0,1,-133.27,0.53,Hold
2025-05-20 17:31:00,0.137,133.77,133.78,133.77,2723.0,1,-133.27,0.5,Hold
2025-05-20 17:32:00,0.136,133.68,133.68,133.67,2118.0,1,-133.27,0.4,Hold
2025-05-20 17:33:00,0.137,133.72,133.73,133.72,2118.0,1,-133.27,0.45,Hold
2025-05-20 17:34:00,0.138,133.74,133.74,133.73,1723.0,1,-133.27,0.46,Hold
2025-05-20 17:35:00,0.136,133.7,133.72,133.71,2086.0,1,-133.27,0.44,Hold
2025-05-20 17:36:00,0.134,133.71,133.72,133.71,1766.0,1,-133.27,0.44,Hold
2025-05-20 17:37:00,0.132,133.72,133.73,133.72,1553.0,1,-133.27,0.45,Hold
2025-05-20 17:38:00,0.13,133.71,133.71,133.7,2920.0,1,-133.27,0.43,Hold
2025-05-20 17:39:00,0.136,133.85,133.86,133.85,3813.0,1,-133.27,0.58,Hold
2025-05-20 17:40:00,0.137,133.8,133.81,133.8,3304.0,1,-133.27,0.53,Hold
2025-05-20 17:41:00,0.135,133.76,133.76,133.75,2935.0,1,-133.27,0.48,Hold
2025-05-20 17:42:00,0.135,133.8,133.83,133.82,2277.0,1,-133.27,0.55,Hold
2025-05-20 17:43:00,0.132,133.76,133.77,133.76,1655.0,1,-133.27,0.49,Hold
2025-05-20 17:44:00,0.124,133.69,133.69,133.68,2300.0,1,-133.27,0.41,Hold
2025-05-20 17:45:00,0.117,133.68,133.69,133.68,1920.0,1,-133.27,0.41,Hold
2025-05-20 17:46:00,0.115,133.77,133.77,133.76,2793.0,1,-133.27,0.49,Hold
2025-05-20 17:47:00,0.118,133.85,133.85,133.84,2464.0,1,-133.27,0.57,Hold
2025-05-20 17:48:00,0.128,133.99,133.99,133.98,6922.0,1,-133.27,0.71,Hold
2025-05-20 17:49:00,0.141,134.06,134.07,134.06,3500.0,1,-133.27,0.79,Hold
2025-05-20 17:50:00,0.149,134.04,134.04,134.03,3070.0,1,-133.27,0.76,Hold
2025-05-20 17:51:00,0.155,134.03,134.04,134.03,2635.0,1,-133.27,0.76,Hold
2025-05-20 17:52:00,0.16,134.03,134.04,134.03,3009.0,1,-133.27,0.76,Hold
2025-05-20 17:53:00,0.161,134.0,134.0,133.99,1983.0,1,-133.27,0.72,Hold
2025-05-20 17:54:00,0.163,134.04,134.04,134.03,12268.0,1,-133.27,0.76,Hold
2025-05-20 17:55:00,0.171,134.16,134.17,134.16,4262.0,1,-133.27,0.89,Hold
2025-05-20 17:56:00,0.18,134.2,134.2,134.19,4318.0,1,-133.27,0.92,Hold
2025-05-20 17:57:00,0.184,134.17,134.17,134.16,3496.0,1,-133.27,0.89,Hold
2025-05-20 17:58:00,0.184,134.12,134.12,134.11,2105.0,1,-133.27,0.84,Hold
2025-05-20 17:59:00,0.181,134.09,134.1,134.09,2731.0,1,-133.27,0.82,Hold
