TimeStamp,rsi_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,31.913,59.47,59.48,59.47,1299.0,1,-59.48,-0.01,Buy
2025-05-20 15:31:00,36.273,59.44,59.44,59.43,2565.0,1,-59.48,-0.05,Hold
2025-05-20 15:32:00,39.957,59.41,59.41,59.4,1415.0,1,-59.48,-0.08,Hold
2025-05-20 15:33:00,32.627,59.44,59.45,59.44,785.0,1,-59.48,-0.04,Hold
2025-05-20 15:34:00,28.266,59.46,59.47,59.46,1401.0,1,-59.48,-0.02,Hold
2025-05-20 15:35:00,38.756,59.37,59.38,59.37,2324.0,1,-59.48,-0.11,Hold
2025-05-20 15:36:00,44.167,59.3,59.3,59.29,2227.0,1,-59.48,-0.19,Hold
2025-05-20 15:37:00,38.703,59.33,59.33,59.32,1016.0,1,-59.48,-0.16,Hold
2025-05-20 15:38:00,32.162,59.37,59.37,59.36,1729.0,1,-59.48,-0.12,Hold
2025-05-20 15:39:00,25.131,59.42,59.43,59.42,1704.0,1,-59.48,-0.06,Hold
2025-05-20 15:40:00,31.639,59.35,59.35,59.34,1141.0,1,-59.48,-0.14,Hold
2025-05-20 15:41:00,33.27,59.33,59.33,59.32,1191.0,1,-59.48,-0.16,Hold
2025-05-20 15:42:00,38.32,59.26,59.26,59.25,2372.0,1,-59.48,-0.23,Hold
2025-05-20 15:43:00,29.548,59.33,59.33,59.32,1921.0,1,-59.48,-0.16,Hold
2025-05-20 15:44:00,35.044,59.25,59.26,59.25,3617.0,1,-59.48,-0.23,Hold
2025-05-20 15:45:00,32.76,59.27,59.27,59.26,1426.0,1,-59.48,-0.22,Hold
2025-05-20 15:46:00,33.447,59.26,59.26,59.25,1670.0,1,-59.48,-0.23,Hold
2025-05-20 15:47:00,36.738,59.21,59.22,59.21,1533.0,1,-59.48,-0.27,Hold
2025-05-20 15:48:00,26.866,59.3,59.31,59.3,1374.0,1,-59.48,-0.18,Hold
2025-05-20 15:49:00,29.03,59.27,59.27,59.26,888.0,1,-59.48,-0.22,Hold
2025-05-20 15:50:00,30.448,59.25,59.25,59.24,922.0,1,-59.48,-0.24,Hold
2025-05-20 15:51:00,28.287,59.27,59.28,59.27,1176.0,1,-59.48,-0.21,Hold
