TimeStamp,ma_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,-1.108,321.0,321.22,321.0,9962.0,0,0.0,0.0,Hold
2025-05-20 15:31:00,-1.487,319.07,319.2,318.96,4359.0,0,0.0,0.0,Hold
2025-05-20 15:32:00,-1.704,319.56,319.62,319.26,3951.0,0,0.0,0.0,Hold
2025-05-20 15:33:00,-2.282,317.05,317.05,316.81,6078.0,0,0.0,0.0,Hold
2025-05-20 15:34:00,-2.392,319.1,319.18,318.96,2530.0,0,0.0,0.0,Hold
2025-05-20 15:35:00,-2.677,317.88,317.95,317.87,2410.0,0,0.0,0.0,Hold
2025-05-20 15:36:00,-3.237,315.83,315.85,315.55,4626.0,0,0.0,0.0,Hold
2025-05-20 15:37:00,-3.612,316.26,316.21,315.8,6643.0,0,0.0,0.0,Hold
2025-05-20 15:38:00,-4.08,315.15,315.22,315.09,3903.0,0,0.0,0.0,Hold
2025-05-20 15:39:00,-4.265,316.26,316.38,316.2,2051.0,0,0.0,0.0,Hold
2025-05-20 15:40:00,-4.095,318.07,318.39,318.05,3734.0,0,0.0,0.0,Hold
2025-05-20 15:41:00,-4.112,317.05,317.13,316.97,2592.0,0,0.0,0.0,Hold
2025-05-20 15:42:00,-4.274,316.02,316.03,315.77,2508.0,0,0.0,0.0,Hold
2025-05-20 15:43:00,-4.531,315.17,315.4,314.94,2474.0,0,0.0,0.0,Hold
2025-05-20 15:44:00,-4.66,315.52,315.69,315.35,2602.0,0,0.0,0.0,Hold
2025-05-20 15:45:00,-4.695,315.79,315.84,315.5,1874.0,0,0.0,0.0,Hold
2025-05-20 15:46:00,-4.911,314.54,314.58,314.39,2563.0,0,0.0,0.0,Hold
2025-05-20 15:47:00,-5.012,314.84,314.98,314.79,1829.0,0,0.0,0.0,Hold
2025-05-20 15:48:00,-4.939,315.65,316.0,315.65,2057.0,0,0.0,0.0,Hold
2025-05-20 15:49:00,-4.641,317.0,317.11,316.9,2244.0,0,0.0,0.0,Hold
2025-05-20 15:50:00,-4.515,316.26,316.39,316.13,2845.0,0,0.0,0.0,Hold
2025-05-20 15:51:00,-4.532,315.41,315.59,315.23,1655.0,0,0.0,0.0,Hold
2025-05-20 15:52:00,-4.401,316.15,316.44,316.15,1174.0,0,0.0,0.0,Hold
2025-05-20 15:53:00,-4.068,317.39,317.45,317.33,1145.0,0,0.0,0.0,Hold
2025-05-20 15:54:00,-3.821,317.12,317.18,316.94,1630.0,0,0.0,0.0,Hold
2025-05-20 15:55:00,-3.629,316.94,317.0,316.77,1685.0,0,0.0,0.0,Hold
2025-05-20 15:56:00,-3.529,316.48,316.7,316.3,666.0,0,0.0,0.0,Hold
2025-05-20 15:57:00,-3.499,316.08,316.23,316.0,1195.0,0,0.0,0.0,Hold
2025-05-20 15:58:00,-3.45,316.12,316.34,316.11,880.0,0,0.0,0.0,Hold
2025-05-20 15:59:00,-3.445,315.8,315.95,315.65,1083.0,0,0.0,0.0,Hold
2025-05-20 16:00:00,-3.509,315.27,315.4,315.13,1309.0,0,0.0,0.0,Hold
2025-05-20 16:01:00,-3.432,315.89,316.09,315.68,963.0,0,0.0,0.0,Hold
2025-05-20 16:02:00,-3.42,315.45,315.57,315.33,546.0,0,0.0,0.0,Hold
2025-05-20 16:03:00,-3.358,315.64,315.73,315.54,635.0,0,0.0,0.0,Hold
2025-05-20 16:04:00,-3.274,315.7,315.7,315.5,1044.0,0,0.0,0.0,Hold
2025-05-20 16:05:00,-3.079,316.33,316.53,316.12,1113.0,0,0.0,0.0,Hold
2025-05-20 16:06:00,-2.873,316.49,316.57,316.34,885.0,0,0.0,0.0,Hold
2025-05-20 16:07:00,-2.564,317.18,317.32,317.16,1185.0,0,0.0,0.0,Hold
2025-05-20 16:08:00,-2.416,316.42,316.6,316.42,1169.0,0,0.0,0.0,Hold
2025-05-20 16:09:00,-2.42,315.57,315.64,315.5,1226.0,0,0.0,0.0,Hold
2025-05-20 16:10:00,-2.592,314.39,314.48,314.29,3147.0,0,0.0,0.0,Hold
2025-05-20 16:11:00,-2.647,314.77,314.93,314.61,1506.0,0,0.0,0.0,Hold
2025-05-20 16:12:00,-2.878,313.49,313.57,313.48,1766.0,0,0.0,0.0,Hold
