TimeStamp,adx_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,-1.005,70.76,70.77,70.76,4812.0,0,0.0,0.0,Hold
2025-05-20 15:31:00,-0.759,70.67,70.67,70.66,2854.0,0,0.0,0.0,Hold
2025-05-20 15:32:00,-0.911,70.65,70.65,70.64,3062.0,0,0.0,0.0,Hold
2025-05-20 15:33:00,-0.381,70.76,70.76,70.75,2594.0,0,0.0,0.0,Hold
2025-05-20 15:34:00,-0.359,70.62,70.63,70.62,2018.0,0,0.0,0.0,Hold
2025-05-20 15:35:00,-0.945,70.58,70.59,70.58,3444.0,0,0.0,0.0,Hold
2025-05-20 15:36:00,-1.208,70.53,70.54,70.53,2430.0,0,0.0,0.0,Hold
2025-05-20 15:37:00,-0.44,70.51,70.51,70.5,3278.0,0,0.0,0.0,Hold
2025-05-20 15:38:00,-0.833,70.73,70.74,70.73,3599.0,0,0.0,0.0,Hold
2025-05-20 15:39:00,-0.73,70.72,70.72,70.71,3476.0,0,0.0,0.0,Hold
2025-05-20 15:40:00,-1.124,70.56,70.57,70.56,2969.0,0,0.0,0.0,Hold
2025-05-20 15:41:00,-2.255,70.53,70.54,70.53,3775.0,0,0.0,0.0,Hold
2025-05-20 15:42:00,-1.674,70.64,70.64,70.63,2202.0,0,0.0,0.0,Hold
2025-05-20 15:43:00,-1.602,70.63,70.63,70.62,1362.0,0,0.0,0.0,Hold
2025-05-20 15:44:00,-2.174,70.57,70.58,70.57,1128.0,0,0.0,0.0,Hold
2025-05-20 15:45:00,-2.297,70.58,70.59,70.58,1974.0,0,0.0,0.0,Hold
2025-05-20 15:46:00,-3.109,70.44,70.45,70.44,1955.0,0,0.0,0.0,Hold
2025-05-20 15:47:00,-6.763,70.08,70.08,70.07,5864.0,0,0.0,0.0,Hold
2025-05-20 15:48:00,-7.945,70.27,70.27,70.26,3347.0,0,0.0,0.0,Hold
2025-05-20 15:49:00,-8.881,70.16,70.17,70.16,2323.0,0,0.0,0.0,Hold
2025-05-20 15:50:00,-10.641,70.11,70.12,70.11,2009.0,0,0.0,0.0,Hold
2025-05-20 15:51:00,-12.249,70.23,70.23,70.22,5591.0,0,0.0,0.0,Hold
2025-05-20 15:52:00,-5.056,70.6,70.6,70.59,4918.0,0,0.0,0.0,Hold
2025-05-20 15:53:00,-3.041,70.7,70.7,70.69,3764.0,0,0.0,0.0,Hold
2025-05-20 15:54:00,-2.017,70.65,70.67,70.66,2294.0,0,0.0,0.0,Hold
2025-05-20 15:55:00,-2.939,70.54,70.56,70.55,1697.0,0,0.0,0.0,Hold
2025-05-20 15:56:00,-3.553,70.52,70.54,70.53,2914.0,0,0.0,0.0,Hold
2025-05-20 15:57:00,-3.698,70.46,70.46,70.45,1418.0,0,0.0,0.0,Hold
2025-05-20 15:58:00,-4.824,70.29,70.29,70.28,1774.0,0,0.0,0.0,Hold
2025-05-20 15:59:00,-5.073,70.4,70.41,70.4,2141.0,0,0.0,0.0,Hold
2025-05-20 16:00:00,-4.361,70.37,70.39,70.38,2464.0,0,0.0,0.0,Hold
2025-05-20 16:01:00,-4.978,70.35,70.33,70.32,2343.0,0,0.0,0.0,Hold
2025-05-20 16:02:00,-3.57,70.36,70.37,70.36,2414.0,0,0.0,0.0,Hold
2025-05-20 16:03:00,-3.322,70.42,70.44,70.43,1607.0,0,0.0,0.0,Hold
2025-05-20 16:04:00,-2.51,70.45,70.45,70.44,1558.0,0,0.0,0.0,Hold
2025-05-20 16:05:00,-1.338,70.51,70.52,70.51,1749.0,0,0.0,0.0,Hold
2025-05-20 16:06:00,-1.115,70.43,70.44,70.43,1614.0,0,0.0,0.0,Hold
2025-05-20 16:07:00,-2.569,70.29,70.3,70.29,2821.0,0,0.0,0.0,Hold
2025-05-20 16:08:00,-2.615,70.25,70.25,70.24,1913.0,0,0.0,0.0,Hold
2025-05-20 16:09:00,-3.069,70.13,70.14,70.13,2203.0,0,0.0,0.0,Hold
2025-05-20 16:10:00,-3.344,70.27,70.27,70.26,2498.0,0,0.0,0.0,Hold
2025-05-20 16:11:00,-2.932,70.22,70.24,70.23,1541.0,0,0.0,0.0,Hold
2025-05-20 16:12:00,-2.73,70.32,70.34,70.33,689.0,0,0.0,0.0,Hold
2025-05-20 16:13:00,-2.263,70.33,70.34,70.33,1969.0,0,0.0,0.0,Hold
2025-05-20 16:14:00,-2.832,70.3,70.31,70.3,900.0,0,0.0,0.0,Hold
2025-05-20 16:15:00,-1.658,70.44,70.44,70.43,1258.0,0,0.0,0.0,Hold
2025-05-20 16:16:00,-1.294,70.36,70.37,70.36,1492.0,0,0.0,0.0,Hold
2025-05-20 16:17:00,-1.307,70.45,70.46,70.45,1321.0,0,0.0,0.0,Hold
2025-05-20 16:18:00,-0.511,70.54,70.56,70.55,2395.0,0,0.0,0.0,Hold
2025-05-20 16:19:00,-0.333,70.51,70.52,70.51,1381.0,0,0.0,0.0,Hold
2025-05-20 16:20:00,-0.102,70.62,70.62,70.61,1292.0,0,0.0,0.0,Hold
2025-05-20 16:21:00,0.04,70.56,70.56,70.55,2902.0,1,-70.56,-0.01,Buy
2025-05-20 16:22:00,0.0,70.61,70.61,70.6,847.0,1,-70.56,0.04,Hold
