TimeStamp,adx_feature,close,ask,bid,Position,Cash,NetValue,Action
2025-05-20 15:30:00,6.1452106277817755,34.1,34.12,34.09,1,-34.12,-0.02999999999999403,Buy
2025-05-20 15:31:00,6.1452106277817755,34.1,34.11,34.09,1,-34.12,-0.02999999999999403,Hold
2025-05-20 15:32:00,6.1452106277817755,34.03,34.04,34.02,1,-34.12,-0.09999999999999432,Hold
2025-05-20 15:33:00,6.1452106277817755,34.07,34.08,34.04,1,-34.12,-0.0799999999999983,Hold
2025-05-20 15:34:00,6.1452106277817755,34.15,34.15,34.13,1,-34.12,0.010000000000005116,Hold
2025-05-20 15:35:00,6.1452106277817755,34.22,34.22,34.2,1,-34.12,0.0800000000000054,Hold
2025-05-20 15:36:00,6.1452106277817755,34.15,34.17,34.15,1,-34.12,0.030000000000001137,Hold
2025-05-20 15:37:00,6.1452106277817755,34.2,34.2,34.18,1,-34.12,0.060000000000002274,Hold
2025-05-20 15:38:00,6.1452106277817755,34.16,34.17,34.15,1,-34.12,0.030000000000001137,Hold
2025-05-20 15:39:00,6.1452106277817755,34.19,34.2,34.18,1,-34.12,0.060000000000002274,Hold
2025-05-20 15:40:00,6.1452106277817755,34.13,34.14,34.13,1,-34.12,0.010000000000005116,Hold
2025-05-20 15:41:00,6.1452106277817755,34.1,34.1,34.08,1,-34.12,-0.03999999999999915,Hold
2025-05-20 15:42:00,6.1452106277817755,34.15,34.16,34.15,1,-34.12,0.030000000000001137,Hold
2025-05-20 15:43:00,6.1452106277817755,34.29,34.29,34.27,1,-34.12,0.15000000000000568,Hold
2025-05-20 15:44:00,6.1452106277817755,34.26,34.27,34.25,1,-34.12,0.13000000000000256,Hold
2025-05-20 15:45:00,6.1452106277817755,34.25,34.25,34.23,1,-34.12,0.10999999999999943,Hold
2025-05-20 15:46:00,6.1452106277817755,34.25,34.26,34.24,1,-34.12,0.12000000000000455,Hold
2025-05-20 15:47:00,6.1452106277817755,34.25,34.25,34.24,1,-34.12,0.12000000000000455,Hold
2025-05-20 15:48:00,6.1452106277817755,34.23,34.23,34.22,1,-34.12,0.10000000000000142,Hold
2025-05-20 15:49:00,6.1452106277817755,34.28,34.29,34.27,1,-34.12,0.15000000000000568,Hold
2025-05-20 15:50:00,6.1452106277817755,34.29,34.3,34.29,1,-34.12,0.1700000000000017,Hold
2025-05-20 15:51:00,6.1452106277817755,34.35,34.35,34.34,1,-34.12,0.22000000000000597,Hold
2025-05-20 15:52:00,6.1452106277817755,34.35,34.36,34.35,1,-34.12,0.23000000000000398,Hold
2025-05-20 15:53:00,6.1452106277817755,34.37,34.38,34.37,1,-34.12,0.25,Hold
2025-05-20 15:54:00,6.1452106277817755,34.39,34.39,34.38,1,-34.12,0.2600000000000051,Hold
2025-05-20 15:55:00,6.1452106277817755,34.37,34.38,34.37,1,-34.12,0.25,Hold
2025-05-20 15:56:00,6.1452106277817755,34.39,34.39,34.38,1,-34.12,0.2600000000000051,Hold
2025-05-20 15:57:00,6.1452106277817755,34.36,34.36,34.35,1,-34.12,0.23000000000000398,Hold
2025-05-20 15:58:00,6.1452106277817755,34.37,34.38,34.36,1,-34.12,0.240000000000002,Hold
2025-05-20 15:59:00,6.1452106277817755,34.35,34.37,34.36,1,-34.12,0.240000000000002,Hold
2025-05-20 16:00:00,6.1452106277817755,34.36,34.36,34.35,1,-34.12,0.23000000000000398,Hold
2025-05-20 16:01:00,6.1452106277817755,34.36,34.37,34.36,1,-34.12,0.240000000000002,Hold
