TimeStamp,bb_feature,close,ask,bid,Position,Cash,NetValue,Action
2025-05-20 15:30:00,0.0,34.1,34.12,34.09,0,0.0,0.0,Hold
2025-05-20 15:31:00,0.0,34.1,34.11,34.09,0,0.0,0.0,Hold
2025-05-20 15:32:00,0.011306020101208958,34.03,34.04,34.02,0,0.0,0.0,Hold
2025-05-20 15:33:00,0.0,34.07,34.08,34.04,0,0.0,0.0,Hold
2025-05-20 15:34:00,-0.0007547470255744315,34.15,34.15,34.13,0,0.0,0.0,Hold
2025-05-20 15:35:00,-0.007136457680282149,34.22,34.22,34.2,0,0.0,0.0,Hold
2025-05-20 15:36:00,0.0,34.15,34.17,34.15,0,0.0,0.0,Hold
2025-05-20 15:37:00,0.0,34.2,34.2,34.18,0,0.0,0.0,Hold
2025-05-20 15:38:00,0.0,34.16,34.17,34.15,0,0.0,0.0,Hold
2025-05-20 15:39:00,0.0,34.19,34.2,34.18,0,0.0,0.0,Hold
2025-05-20 15:40:00,0.0,34.13,34.14,34.13,0,0.0,0.0,Hold
2025-05-20 15:41:00,0.00019677428679898412,34.1,34.1,34.08,0,0.0,0.0,Hold
2025-05-20 15:42:00,0.0,34.15,34.16,34.15,0,0.0,0.0,Hold
2025-05-20 15:43:00,-0.019227534201071705,34.29,34.29,34.27,0,0.0,0.0,Hold
2025-05-20 15:44:00,0.0,34.26,34.27,34.25,0,0.0,0.0,Hold
2025-05-20 15:45:00,0.0,34.25,34.25,34.23,0,0.0,0.0,Hold
2025-05-20 15:46:00,0.0,34.25,34.26,34.24,0,0.0,0.0,Hold
2025-05-20 15:47:00,0.0,34.25,34.25,34.24,0,0.0,0.0,Hold
2025-05-20 15:48:00,0.003303061543206809,34.23,34.23,34.22,0,0.0,0.0,Hold
2025-05-20 15:49:00,-0.00399999999994094,34.28,34.29,34.27,0,0.0,0.0,Hold
2025-05-20 15:50:00,0.0,34.29,34.3,34.29,0,0.0,0.0,Hold
2025-05-20 15:51:00,-0.008518295404222442,34.35,34.35,34.34,0,0.0,0.0,Hold
2025-05-20 15:52:00,0.0,34.35,34.36,34.35,0,0.0,0.0,Hold
2025-05-20 15:53:00,0.0,34.37,34.38,34.37,0,0.0,0.0,Hold
2025-05-20 15:54:00,0.0,34.39,34.39,34.38,0,0.0,0.0,Hold
2025-05-20 15:55:00,0.0,34.37,34.38,34.37,0,0.0,0.0,Hold
2025-05-20 15:56:00,0.0,34.39,34.39,34.38,0,0.0,0.0,Hold
2025-05-20 15:57:00,0.0,34.36,34.36,34.35,0,0.0,0.0,Hold
2025-05-20 15:58:00,0.0,34.37,34.38,34.36,0,0.0,0.0,Hold
2025-05-20 15:59:00,0.0,34.35,34.37,34.36,0,0.0,0.0,Hold
2025-05-20 16:00:00,0.0,34.36,34.36,34.35,0,0.0,0.0,Hold
2025-05-20 16:01:00,0.0,34.36,34.37,34.36,0,0.0,0.0,Hold
2025-05-20 16:02:00,0.0,34.37,34.38,34.37,0,0.0,0.0,Hold
2025-05-20 16:03:00,-0.0036530100505061114,34.39,34.4,34.39,0,0.0,0.0,Hold
2025-05-20 16:04:00,0.0,34.36,34.36,34.35,0,0.0,0.0,Hold
2025-05-20 16:05:00,0.0,34.4,34.4,34.39,0,0.0,0.0,Hold
2025-05-20 16:06:00,0.0,34.41,34.42,34.41,0,0.0,0.0,Hold
2025-05-20 16:07:00,0.0,34.37,34.37,34.36,0,0.0,0.0,Hold
2025-05-20 16:08:00,0.0,34.4,34.41,34.4,0,0.0,0.0,Hold
2025-05-20 16:09:00,0.0,34.42,34.44,34.42,0,0.0,0.0,Hold
2025-05-20 16:10:00,0.0,34.44,34.44,34.43,0,0.0,0.0,Hold
2025-05-20 16:11:00,0.0,34.4,34.41,34.4,0,0.0,0.0,Hold
2025-05-20 16:12:00,0.0,34.4,34.41,34.4,0,0.0,0.0,Hold
2025-05-20 16:13:00,0.0,34.4,34.41,34.4,0,0.0,0.0,Hold
2025-05-20 16:14:00,0.0,34.37,34.37,34.36,0,0.0,0.0,Hold
2025-05-20 16:15:00,0.0,34.4,34.4,34.39,0,0.0,0.0,Hold
2025-05-20 16:16:00,0.0,34.38,34.39,34.38,0,0.0,0.0,Hold
2025-05-20 16:17:00,0.0,34.38,34.39,34.38,0,0.0,0.0,Hold
2025-05-20 16:18:00,0.0,34.38,34.39,34.38,0,0.0,0.0,Hold
2025-05-20 16:19:00,0.0,34.38,34.39,34.38,0,0.0,0.0,Hold
2025-05-20 16:20:00,0.001999999999519275,34.37,34.38,34.37,0,0.0,0.0,Hold
2025-05-20 16:21:00,0.001999999999767965,34.36,34.36,34.35,0,0.0,0.0,Hold
2025-05-20 16:22:00,0.0005071443153141786,34.35,34.36,34.35,0,0.0,0.0,Hold
2025-05-20 16:23:00,0.002193024198767546,34.33,34.34,34.33,0,0.0,0.0,Hold
2025-05-20 16:24:00,0.0,34.33,34.33,34.32,0,0.0,0.0,Hold
2025-05-20 16:25:00,0.0,34.31,34.31,34.3,0,0.0,0.0,Hold
2025-05-20 16:26:00,0.001405882918376733,34.29,34.3,34.29,0,0.0,0.0,Hold
2025-05-20 16:27:00,0.0,34.29,34.3,34.29,0,0.0,0.0,Hold
2025-05-20 16:28:00,0.0,34.28,34.28,34.27,0,0.0,0.0,Hold
2025-05-20 16:29:00,0.0,34.29,34.3,34.29,0,0.0,0.0,Hold
2025-05-20 16:30:00,0.0,34.29,34.29,34.28,0,0.0,0.0,Hold
2025-05-20 16:31:00,0.0,34.29,34.3,34.29,0,0.0,0.0,Hold
2025-05-20 16:32:00,-0.0033030615431712818,34.31,34.32,34.31,0,0.0,0.0,Hold
2025-05-20 16:33:00,0.0,34.31,34.31,34.3,0,0.0,0.0,Hold
2025-05-20 16:34:00,0.0,34.29,34.3,34.29,0,0.0,0.0,Hold
2025-05-20 16:35:00,0.01190918462985735,34.23,34.24,34.23,0,0.0,0.0,Hold
2025-05-20 16:36:00,0.0,34.22,34.23,34.22,0,0.0,0.0,Hold
2025-05-20 16:37:00,0.0,34.27,34.27,34.26,0,0.0,0.0,Hold
2025-05-20 16:38:00,0.0,34.28,34.28,34.27,0,0.0,0.0,Hold
2025-05-20 16:39:00,0.0,34.3,34.3,34.29,0,0.0,0.0,Hold
2025-05-20 16:40:00,0.0,34.29,34.29,34.28,0,0.0,0.0,Hold
2025-05-20 16:41:00,0.0,34.28,34.28,34.27,0,0.0,0.0,Hold
2025-05-20 16:42:00,0.0049001992038952835,34.25,34.25,34.24,0,0.0,0.0,Hold
2025-05-20 16:43:00,0.0,34.24,34.24,34.23,0,0.0,0.0,Hold
2025-05-20 16:44:00,0.0,34.26,34.26,34.25,0,0.0,0.0,Hold
2025-05-20 16:45:00,0.0,34.26,34.26,34.25,0,0.0,0.0,Hold
2025-05-20 16:46:00,0.0,34.26,34.26,34.25,0,0.0,0.0,Hold
2025-05-20 16:47:00,0.0,34.25,34.26,34.25,0,0.0,0.0,Hold
2025-05-20 16:48:00,0.006762099922688947,34.22,34.23,34.22,0,0.0,0.0,Hold
2025-05-20 16:49:00,0.0,34.22,34.23,34.22,0,0.0,0.0,Hold
2025-05-20 16:50:00,0.0,34.22,34.22,34.21,0,0.0,0.0,Hold
2025-05-20 16:51:00,0.0,34.23,34.23,34.22,0,0.0,0.0,Hold
2025-05-20 16:52:00,-0.001999999999945601,34.24,34.24,34.23,0,0.0,0.0,Hold
2025-05-20 16:53:00,0.0,34.24,34.25,34.24,0,0.0,0.0,Hold
2025-05-20 16:54:00,-0.002100251257814989,34.26,34.27,34.26,0,0.0,0.0,Hold
2025-05-20 16:55:00,0.0,34.27,34.28,34.27,0,0.0,0.0,Hold
2025-05-20 16:56:00,-0.0045934138229597465,34.3,34.3,34.29,0,0.0,0.0,Hold
2025-05-20 16:57:00,0.0,34.31,34.33,34.32,0,0.0,0.0,Hold
2025-05-20 16:58:00,0.0,34.32,34.32,34.31,0,0.0,0.0,Hold
2025-05-20 16:59:00,0.0,34.31,34.31,34.3,0,0.0,0.0,Hold
2025-05-20 17:00:00,0.0,34.32,34.32,34.31,0,0.0,0.0,Hold
2025-05-20 17:01:00,0.0,34.31,34.31,34.3,0,0.0,0.0,Hold
2025-05-20 17:02:00,-0.0007750278393530152,34.33,34.33,34.32,0,0.0,0.0,Hold
2025-05-20 17:03:00,0.0,34.31,34.31,34.3,0,0.0,0.0,Hold
2025-05-20 17:04:00,0.0,34.31,34.31,34.3,0,0.0,0.0,Hold
2025-05-20 17:05:00,0.0010263340388121378,34.29,34.3,34.29,0,0.0,0.0,Hold
2025-05-20 17:06:00,0.0,34.3,34.31,34.3,0,0.0,0.0,Hold
2025-05-20 17:07:00,0.0,34.32,34.32,34.31,0,0.0,0.0,Hold
2025-05-20 17:08:00,0.0,34.33,34.33,34.32,0,0.0,0.0,Hold
2025-05-20 17:09:00,0.0,34.33,34.33,34.32,0,0.0,0.0,Hold
2025-05-20 17:10:00,0.0,34.33,34.33,34.32,0,0.0,0.0,Hold
2025-05-20 17:11:00,0.0,34.32,34.33,34.32,0,0.0,0.0,Hold
2025-05-20 17:12:00,-0.0005131670191218518,34.34,34.35,34.34,0,0.0,0.0,Hold
2025-05-20 17:13:00,0.0,34.34,34.35,34.34,0,0.0,0.0,Hold
2025-05-20 17:14:00,0.0,34.34,34.35,34.34,0,0.0,0.0,Hold
2025-05-20 17:15:00,0.0,34.35,34.35,34.34,0,0.0,0.0,Hold
2025-05-20 17:16:00,0.0,34.35,34.35,34.34,0,0.0,0.0,Hold
2025-05-20 17:17:00,0.0007750278393672261,34.33,34.34,34.33,0,0.0,0.0,Hold
2025-05-20 17:18:00,0.0,34.35,34.35,34.34,0,0.0,0.0,Hold
2025-05-20 17:19:00,0.0,34.35,34.35,34.34,0,0.0,0.0,Hold
2025-05-20 17:20:00,0.0,34.35,34.36,34.35,0,0.0,0.0,Hold
2025-05-20 17:21:00,0.0,34.35,34.36,34.35,0,0.0,0.0,Hold
2025-05-20 17:22:00,0.0,34.35,34.36,34.35,0,0.0,0.0,Hold
2025-05-20 17:23:00,-0.001999999999483748,34.36,34.36,34.35,0,0.0,0.0,Hold
2025-05-20 17:24:00,0.0,34.35,34.36,34.35,0,0.0,0.0,Hold
2025-05-20 17:25:00,0.0,34.35,34.36,34.35,0,0.0,0.0,Hold
2025-05-20 17:26:00,0.0,34.36,34.37,34.36,0,0.0,0.0,Hold
2025-05-20 17:27:00,-0.0007750278394098586,34.37,34.38,34.37,0,0.0,0.0,Hold
2025-05-20 17:28:00,0.0021002512577084076,34.33,34.34,34.33,1,-34.34,-0.010000000000005116,Buy
2025-05-20 17:29:00,0.0,34.34,34.35,34.34,1,-34.34,0.0,Hold
