trial,col_signal,sign_thresh,reset_peak,rsi_min_thresh,rsi_max_thresh,vol_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
1291,ema_21,ema_50,0,33,80,3.84288,58.5944,1.36481,-11.19459,0.98019,0.93702,5.59328,24.93757
1047,ema_21,ema_50,0,23,91,3.78655,58.52028,1.64927,-17.96561,0.93567,0.96743,4.71055,24.88952
665,ema_21,ema_50,0,22,83,3.86645,58.40073,1.43883,-18.22884,0.96523,0.71473,3.0905,24.5423
763,ema_21,ema_50,0,22,79,3.79565,57.40779,1.09554,-13.93915,0.99457,0.95615,9.54204,24.2439
876,ema_21,ema_50,0,26,92,3.79692,57.19892,1.18396,-15.41082,0.98519,0.95279,6.86176,24.19782
1066,ema_21,ema_50,0,21,82,3.82308,58.54307,3.09724,-8.8362,0.92252,0.91356,13.60245,24.13389
1145,ema_21,ema_50,0,23,71,3.82491,57.09318,1.10813,-13.80203,0.99487,0.95007,9.69598,24.10139
481,ema_21,ema_50,0,34,71,3.62324,58.68734,1.83373,-15.22823,0.98461,0.94267,6.0806,23.99716
701,ema_21,ema_50,0,30,86,3.6625,58.38634,1.51571,-12.06319,0.98957,0.88425,6.971,23.96793
682,ema_21,ema_50,0,27,92,3.74714,58.44799,1.72748,-13.1156,0.96591,0.98181,7.39281,23.95706
906,ema_21,ema_50,0,27,81,3.6151,58.43723,1.24119,-11.64501,0.95199,0.97997,7.59487,23.88632
934,ema_21,ema_50,0,29,94,3.76148,58.46908,1.22815,-13.58624,0.93814,0.94006,8.18155,23.74928
557,ema_21,ema_50,0,22,35,3.81469,56.87538,1.02345,-17.15313,0.95302,0.9846,8.4922,23.69385
692,ema_21,ema_50,0,25,91,3.66852,58.31661,1.48048,-13.59972,0.91779,0.99731,8.81165,23.68498
704,ema_21,ema_50,0,23,89,3.80318,53.99586,1.33625,-17.04163,0.7679,0.97437,9.22315,23.62697
351,ema_21,ema_50,0,34,75,3.7186,58.30043,1.52642,-10.61446,0.99254,0.61763,7.8456,23.62225
1244,ema_21,ema_50,0,29,82,3.538,58.43924,1.46728,-12.27671,0.97971,0.98977,7.63111,23.4732
1247,ema_21,ema_50,0,28,80,3.58034,58.37856,1.16237,-18.37615,0.9947,0.90117,6.8946,23.42285
244,ema_21,ema_50,0,60,65,3.80107,58.27766,1.26985,-19.85602,0.82128,0.33291,11.32636,23.36591
1184,ema_21,ema_50,0,39,90,3.57361,58.51718,3.21552,-18.32183,0.96416,0.92873,13.67541,23.32252
1187,ema_21,ema_50,0,36,91,3.50843,58.64349,2.95034,-15.03909,0.96782,0.9062,12.13714,23.30205
1057,ema_21,ema_50,0,27,86,3.84328,57.31828,2.18911,-12.40362,0.92952,0.96282,14.83155,23.27743
229,ema_21,ema_50,0,34,75,3.63301,58.59811,1.10159,-17.25588,0.84151,0.95926,4.67104,23.08432
620,ema_21,ema_50,0,22,96,3.63185,58.05968,1.11556,-14.48893,0.97633,0.99986,8.71723,23.01961
415,ema_21,ema_50,0,23,85,3.72115,58.27402,3.45736,-5.53183,0.85185,0.13117,7.30025,22.98115
172,ema_21,ema_50,0,54,60,3.65956,58.65451,3.37099,-19.66806,0.89496,0.51324,11.34291,22.92729
1133,ema_21,ema_50,0,27,87,3.76262,57.09182,2.30899,-17.13888,0.98328,0.8609,14.94874,22.88454
945,ema_21,ema_50,0,25,99,3.7286,57.64239,1.17298,-17.82551,0.9511,0.9784,9.63704,22.88279
1074,ema_21,ema_50,0,24,100,3.7192,58.00253,2.76858,-5.89127,0.97462,0.85804,12.44612,22.83787
302,ema_21,ema_50,0,51,58,3.80795,56.97311,3.0766,-2.39744,0.80269,0.80064,9.02882,22.80887
1076,ema_21,ema_50,0,30,90,3.72396,57.66244,2.29629,-19.00824,0.9501,0.92966,5.96742,22.80848
739,ema_21,ema_50,0,36,42,3.64405,57.39079,2.05402,-10.60646,0.96733,0.83203,3.27289,22.7814
658,ema_21,ema_50,0,27,83,3.61338,57.93713,1.35081,-13.78348,0.96893,0.82161,4.48326,22.76804
1082,ema_21,ema_50,0,26,91,3.79659,56.45047,3.91861,-4.26079,0.94049,0.94344,13.19823,22.7677
1037,ema_21,ema_50,0,20,100,3.66029,57.6375,2.05793,-10.79893,0.93749,0.92393,12.24685,22.75235
1194,ema_21,ema_50,0,33,85,3.68732,58.06199,3.85574,-19.39279,0.96875,0.7761,10.86679,22.72119
791,ema_21,ema_50,0,58,84,3.58234,58.54917,3.03956,-3.18574,0.90165,0.67678,7.35468,22.68249
552,ema_21,ema_50,0,26,46,3.63503,58.70803,1.17148,-15.53766,0.79662,0.9005,5.45603,22.65933
1088,ema_21,ema_50,0,21,85,3.74043,56.98458,5.01009,-10.26285,0.96797,0.74096,12.67768,22.65674
886,ema_21,ema_50,0,30,92,3.79084,53.1907,1.26159,-13.73509,0.86496,0.92577,7.17854,22.64671
1285,ema_21,ema_50,0,25,71,3.77931,56.34575,1.89144,-10.69186,0.98861,0.90767,9.79159,22.61269
998,ema_21,ema_50,0,21,73,3.84395,57.5885,1.78061,-12.69217,0.8678,0.98195,11.14734,22.53209
634,ema_21,ema_50,0,27,39,3.44957,58.46588,1.04005,-17.86958,0.95738,0.83109,4.03113,22.50035
800,ema_21,ema_50,0,27,79,3.63415,58.06335,1.54917,-15.68549,0.94698,0.68312,8.06649,22.49758
548,ema_21,ema_50,0,26,49,3.74515,57.05803,1.4803,-17.46267,0.88555,0.94578,7.47946,22.47137
184,ema_21,ema_50,0,36,69,3.86157,54.26533,1.24747,-4.91573,0.93371,0.99345,5.99247,22.46598
780,ema_21,ema_50,0,27,83,3.67473,58.15301,1.36454,-16.33139,0.93788,0.67287,9.08125,22.45159
1174,ema_21,ema_50,0,23,75,3.84801,57.36439,2.26466,-3.56221,0.86546,0.85644,11.83877,22.42973
1058,ema_21,ema_50,0,29,85,3.84395,58.25559,2.09616,-10.72818,0.86687,0.80592,13.27483,22.40399
1190,ema_21,ema_50,0,36,89,3.72831,57.81784,2.58861,-15.91065,0.89643,0.81062,12.52022,22.40397
381,ema_21,ema_50,0,59,64,3.83805,56.92028,2.61199,-3.64657,0.88268,0.57825,9.1126,22.4019
559,ema_21,ema_50,0,34,41,3.6807,57.22772,2.3854,-12.24603,0.87453,0.92921,3.41821,22.39542
995,ema_21,ema_50,0,29,90,3.5644,58.12449,1.4733,-17.74173,0.97096,0.95869,10.1311,22.37251
524,ema_21,ema_50,0,42,57,3.62969,57.58895,1.8488,-14.72683,0.91921,0.66429,7.77166,22.33022
594,ema_21,ema_50,0,36,43,3.84422,54.51307,1.45326,-19.75157,0.9223,0.83909,5.85259,22.32385
1003,ema_21,ema_50,0,33,71,3.78542,55.63535,1.24763,-12.66516,0.90672,0.98895,7.74827,22.30496
1106,ema_21,ema_50,0,20,71,3.74743,57.90518,1.48436,-11.79736,0.85465,0.97073,7.89099,22.29244
1091,ema_21,ema_50,0,23,87,3.65374,57.008,3.29941,-2.21606,0.89151,0.72312,11.86217,22.25887
1248,ema_21,ema_50,0,23,77,3.50771,58.24215,1.40135,-17.22508,0.98574,0.79397,6.89705,22.2265
975,ema_21,ema_50,0,39,90,3.75517,58.40792,1.45293,-10.27832,0.73584,0.97025,5.80095,22.18675
1181,ema_21,ema_50,0,25,70,3.5115,57.88165,1.4943,-8.46115,0.95355,0.84193,9.93857,22.16507
566,ema_21,ema_50,0,25,33,3.49052,57.86494,2.62589,-6.43644,0.89907,0.96347,3.17988,22.11244
563,ema_21,ema_50,0,25,33,3.78608,56.52034,3.96554,-10.6449,0.82746,0.98205,4.11383,22.10125
467,ema_21,ema_50,0,29,52,3.51421,58.56952,1.26979,-14.11128,0.74945,0.88881,5.77021,22.04637
1024,ema_21,ema_50,0,31,86,3.38552,58.28029,1.30449,-19.60942,0.99095,0.89046,13.58461,22.04304
300,ema_21,ema_50,0,58,63,3.66141,57.55853,2.6295,-7.08715,0.83391,0.79295,11.3379,21.99018
533,ema_21,ema_50,0,37,55,3.37104,58.39681,1.45167,-15.68035,0.96672,0.89849,4.43171,21.98258
149,ema_21,ema_50,0,42,55,3.7934,54.55587,4.2504,-15.881,0.70725,0.34042,14.42548,21.98022
1007,ema_21,ema_50,0,22,77,3.7921,57.54502,2.37693,-14.33834,0.70016,0.99955,12.49752,21.95973
