trial,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,sign_thresh_pair,avg_daily_pnl
2293,0,35,54,49.57524,9.55534,3.31375,0.31402,0.02556,10.8202,ema_3|ema_8,23.20793
1819,0,15,49,49.96834,8.60361,4.74864,0.27767,0.01447,22.76138,ema_3|ema_8,20.97802
2247,0,12,49,49.96218,9.81981,3.90336,0.27936,0.05698,23.9234,ema_3|ema_8,20.2817
1747,0,36,49,49.8556,8.2782,2.80076,0.28995,0.01529,10.68286,ema_3|ema_8,18.68051
1085,0,31,54,49.15543,9.02571,3.31176,0.08581,0.03902,11.75858,ema_3|ema_8,13.95191
1794,0,27,52,49.17886,8.54058,3.60158,0.30638,0.04971,19.35664,ema_3|ema_8,13.1415
2276,0,35,54,49.48411,7.72458,4.94059,0.31014,0.0106,10.89108,ema_3|ema_8,13.02886
1674,0,31,45,49.59213,9.33943,4.61284,0.27685,0.04154,13.86274,ema_3|ema_8,11.20145
2038,0,10,49,49.73944,8.49938,3.91799,0.36965,0.05754,19.75733,ema_3|ema_8,11.19003
1239,0,34,45,48.80377,7.60647,2.07965,0.02097,0.30315,17.10402,ema_3|ema_8,10.4979
2274,0,32,52,49.97048,9.73641,3.14701,0.10258,0.16774,13.9473,ema_3|ema_8,10.30556
1320,0,34,45,48.76517,6.02085,2.80774,0.20256,0.41731,25.05168,ema_3|ema_8,9.68047
2185,0,31,45,49.03408,5.85503,1.54663,0.01192,0.13926,8.34361,ema_3|ema_8,9.42479
1788,0,27,50,49.86878,5.0398,2.49334,0.02595,0.13901,17.49841,ema_3|ema_8,9.09575
2120,0,33,49,49.11281,5.5598,1.93672,0.01897,0.1163,5.41014,ema_3|ema_8,9.0649
1641,0,32,45,49.5251,9.53464,2.94184,0.05579,0.08121,12.69235,ema_3|ema_8,8.98304
1653,0,13,49,48.80213,4.72985,2.51629,0.01542,0.05863,12.6634,ema_5|ema_13,8.84607
861,0,38,55,49.49488,7.66711,2.9671,0.04018,0.29847,16.07955,ema_3|ema_8,8.84166
