trial,col_signal,sign_thresh,reset_peak,rsi_min_thresh,rsi_max_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
2792,ema_9,ema_21,1,97,200,29.99247,6.05758,0.9631,1.0,72.32342,13:30:00,83.86101
1298,ema_9,ema_21,1,97,99,28.3719,6.04891,0.89709,0.99998,62.41297,13:30:00,83.38299
2063,ema_9,ema_21,1,97,102,28.20079,6.05735,0.8443,0.99978,74.37111,13:30:00,82.83411
1455,ema_9,ema_21,1,97,99,28.27234,6.06411,0.89484,0.9823,70.94361,13:30:00,82.2331
2370,ema_9,ema_21,1,97,101,28.28788,6.12164,0.98889,0.99986,77.64033,13:30:00,78.10647
1386,ema_9,ema_21,1,97,99,28.08432,6.18989,0.8621,0.99994,75.13723,13:30:00,76.25168
1666,ema_9,ema_21,1,97,103,29.90733,6.11199,0.88339,0.98255,74.13065,13:30:00,75.62738
2404,ema_9,ema_21,1,100,106,29.99175,6.01793,0.86079,1.0,72.20002,13:30:00,74.90396
1680,ema_9,ema_21,1,99,111,29.95729,6.08803,0.90029,0.99984,71.99641,13:30:00,73.98577
1822,ema_9,ema_21,1,99,247,28.04572,6.0506,0.90878,0.98201,73.548,13:30:00,73.84494
1137,ema_9,ema_21,1,97,99,28.2821,6.15434,0.82182,0.95895,62.50063,13:30:00,73.56858
849,ema_9,ema_21,1,27,34,28.00447,6.03666,0.83977,0.99975,63.82104,13:30:00,73.33541
1099,ema_9,ema_21,1,34,44,28.12999,6.00374,0.90385,0.96721,64.9721,13:30:00,72.78215
1511,ema_9,ema_21,1,97,113,29.96251,6.23241,0.90661,0.96714,74.68842,13:30:00,72.59912
2526,ema_9,ema_21,1,100,108,29.96844,6.05524,0.88447,0.97963,68.1248,13:30:00,72.41368
2039,ema_9,ema_21,1,100,108,27.83118,6.05284,0.87027,0.99991,72.73452,13:30:00,72.41366
2418,ema_9,ema_21,1,100,108,29.94496,6.03349,0.88573,0.98229,65.25124,13:30:00,72.3147
2130,ema_9,ema_21,1,100,108,27.93683,6.08846,0.88502,0.97994,64.29157,13:30:00,72.24598
2105,ema_9,ema_21,1,99,110,29.98447,6.07861,0.87751,0.98115,75.62483,13:30:00,72.0927
2434,ema_9,ema_21,1,100,111,28.41592,6.09079,0.86234,0.9799,66.43943,13:30:00,71.9521
1307,ema_9,ema_21,1,97,99,28.36661,6.2676,0.89155,0.96613,63.10629,13:30:00,71.85313
1787,ema_9,ema_21,1,100,272,29.97341,6.03129,0.84916,0.9675,75.86865,13:30:00,71.81432
1328,ema_9,ema_21,1,99,107,28.27931,6.03137,0.89648,0.95711,75.08621,13:30:00,71.62976
1676,ema_9,ema_21,1,99,110,29.94105,6.03938,0.86993,0.97984,69.49331,13:30:00,71.5539
2549,ema_9,ema_21,1,99,112,29.92326,6.07126,0.8992,0.98069,74.51095,13:30:00,71.44536
2653,ema_9,ema_21,1,97,116,29.92793,6.31267,0.87338,0.96874,64.65274,13:30:00,71.40571
2556,ema_9,ema_21,1,98,115,28.323,6.06515,0.87956,0.99983,66.07162,13:30:00,71.22429
729,ema_9,ema_21,1,31,49,29.95424,6.08994,0.87514,0.96538,66.34616,13:30:00,71.16772
2340,ema_9,ema_21,1,97,121,28.33131,6.20832,0.93258,0.94583,75.00206,13:30:00,71.06671
2421,ema_9,ema_21,1,100,109,28.33639,5.99865,0.86178,0.95099,65.82073,13:30:00,71.02716
1294,ema_9,ema_21,1,100,102,29.97326,6.08061,0.88935,0.96617,67.61732,13:30:00,71.01662
1690,ema_9,ema_21,1,97,116,28.19314,6.35516,0.89738,0.95747,72.60187,13:30:00,70.91745
2738,ema_9,ema_21,1,99,111,28.18602,6.08167,0.84062,0.9564,62.12867,13:30:00,70.00074
1876,ema_9,ema_21,1,100,108,24.37136,6.03409,0.90799,0.98004,72.03451,13:30:00,69.81239
1471,ema_9,ema_21,1,97,109,24.18212,6.45727,0.84524,0.9999,74.9575,13:30:00,69.70321
1331,ema_9,ema_21,1,98,106,28.23014,6.00377,0.90788,0.95219,75.76044,13:30:00,69.63644
2629,ema_9,ema_21,1,100,107,28.42472,6.09366,0.90532,0.9485,77.33954,13:30:00,69.63639
1696,ema_9,ema_21,1,97,118,27.85642,6.34331,0.92114,0.95578,73.25107,13:30:00,69.60772
1743,ema_9,ema_21,1,99,106,29.99887,6.06908,0.90517,0.94877,75.19057,13:30:00,69.60656
1542,ema_9,ema_21,1,100,109,28.12795,6.06577,0.88639,0.94616,72.62949,13:30:00,69.21822
1569,ema_9,ema_21,1,99,105,28.17921,6.05553,0.87316,0.9401,75.03797,13:30:00,69.17553
1574,ema_9,ema_21,1,99,105,28.18051,6.02231,0.88932,0.92883,73.81154,13:30:00,69.08195
756,ema_9,ema_21,1,32,42,28.01258,6.0825,0.8318,0.9566,63.42334,13:30:00,68.98692
2223,ema_9,ema_21,1,97,117,24.75366,6.46126,0.87782,0.93916,76.94065,13:30:00,68.98377
1746,ema_9,ema_21,1,97,103,29.87662,6.24,0.86086,0.97992,76.70201,13:30:00,68.78704
2769,ema_9,ema_21,1,98,103,28.17859,6.08086,0.85487,0.96529,71.60904,13:30:00,68.63134
