trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_choice,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
345,0.00113,0.00351,0.02552,5.40636,6.36197,median_nonzero,0,1,85,7.92401,0.08175,-1.79687,0.00688,0.00678,8.68069,1730494675711.4883
254,0.0012,0.00333,0.02566,5.41006,6.33369,median_nonzero,0,1,86,7.93147,0.08133,-1.66192,0.0066,0.00655,5.59155,1730328716798.0576
325,0.00108,0.00356,0.02572,5.41311,6.35685,median_nonzero,0,1,86,7.91677,0.08001,-0.91554,0.00671,0.0068,6.00484,1730007232777.5947
140,0.00136,0.00314,0.02652,5.41188,6.39709,median_nonzero,0,1,86,7.92567,0.08072,-4.47892,0.00643,0.00629,6.8307,1729854375088.2004
98,0.00162,0.00308,0.02874,5.40554,6.45574,median_nonzero,0,1,84,8.17126,0.08317,-3.37069,0.00616,0.00576,4.58313,1729672781419.947
281,0.00119,0.0035,0.02588,5.41452,6.3503,median_nonzero,0,1,87,7.91367,0.08001,-1.54333,0.00658,0.00675,5.71819,1729649425706.9834
208,0.00103,0.00349,0.02567,5.4108,6.34478,median_nonzero,0,1,86,7.90495,0.08123,-1.71859,0.00675,0.00689,5.85366,1729463213904.6274
118,0.00126,0.00326,0.02889,5.41087,6.43247,median_nonzero,0,1,84,8.13377,0.08086,-4.67838,0.00633,0.0055,2.0901,1729404306767.524
428,0.00172,0.004,0.02548,5.40907,6.36055,median_nonzero,0,1,87,7.90459,0.08406,-0.03748,0.00645,0.00677,8.85462,1729359855306.0273
356,0.00122,0.00349,0.02541,5.41537,6.30337,median_nonzero,0,1,86,7.9217,0.08039,-2.19626,0.00651,0.0068,6.78301,1729152538386.8438
159,0.00118,0.00331,0.02625,5.41464,6.33323,median_nonzero,0,1,87,7.97204,0.08007,-1.51066,0.00652,0.00676,5.67961,1728866522612.1963
149,0.0012,0.00333,0.02674,5.41025,6.37448,median_nonzero,0,1,87,7.96222,0.08137,-1.82417,0.0065,0.00657,6.26211,1728602642087.7327
408,0.0012,0.00349,0.02531,5.41042,6.36606,median_nonzero,0,1,87,7.94625,0.08164,-1.08604,0.00649,0.0069,6.88872,1728110147727.2617
