trial,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,sign_thresh_pair,avg_daily_pnl
60,0,32,54,54.83766,12.20087,0.18258,0.68525,0.03,18.4079,ema_3|ema_8,39.02159
56,0,35,47,56.72872,17.52015,2.06436,0.44482,0.07326,11.71888,ema_3|ema_8,37.59346
2,0,25,58,57.15767,16.35792,2.92897,0.79886,0.09711,23.29175,ema_3|ema_8,37.52035
68,0,44,54,56.65084,10.82371,1.07985,0.79901,0.04216,17.10644,ema_3|ema_8,36.17377
42,0,40,55,57.44856,16.37466,-0.24213,0.71755,0.05393,28.19293,ema_3|ema_8,31.0767
7,0,41,61,53.1829,14.38491,-0.78839,0.63358,0.06962,24.19066,ema_3|ema_8,29.08852
6,0,34,64,51.95336,14.3827,1.93121,0.76429,0.05613,19.14752,ema_3|ema_8,28.42369
19,0,31,56,54.66967,13.69348,-0.97216,0.64953,0.07033,13.24068,ema_3|ema_8,27.57071
35,0,39,55,57.80685,16.23978,0.86273,0.77911,0.07907,29.01026,ema_3|ema_8,27.13184
24,0,43,47,58.31565,16.65194,0.2108,0.79403,0.02765,27.74151,ema_3|ema_8,22.15694
18,0,37,48,54.46519,11.83941,-0.72696,0.6589,0.04543,22.02508,ema_3|ema_8,21.27882
3,0,34,63,57.35537,14.6101,1.89393,0.52779,0.09702,16.46366,ema_3|ema_8,20.40754
8,0,33,45,53.29864,15.63618,2.16764,0.75281,0.08671,19.29218,ema_3|ema_8,20.0369
0,0,40,60,50.9287,15.89873,1.27758,0.60803,0.05763,17.80918,ema_3|ema_8,19.79821
49,0,30,46,50.11336,16.58039,0.06605,0.76121,0.05795,17.02198,ema_3|ema_8,19.3902
5,0,42,52,53.14466,11.36233,1.30746,0.60446,0.05791,16.87264,ema_3|ema_8,19.27626
50,0,38,53,57.63389,15.39426,1.44514,0.73646,0.08401,15.54011,ema_3|ema_8,17.82831
59,0,31,53,53.53956,11.48047,-0.21082,0.75528,0.04645,16.37292,ema_3|ema_8,15.95114
47,0,36,51,58.48202,15.63554,1.08533,0.67345,0.06646,10.07471,ema_3|ema_8,11.77707
16,0,45,50,59.07584,17.26223,0.04707,0.54504,0.01962,26.2478,ema_3|ema_8,4.82124
9,0,37,57,51.05248,15.94536,1.46762,0.6635,0.05678,17.91032,ema_3|ema_8,2.41584
10,0,28,53,59.57519,17.36562,-0.03674,0.42592,0.02767,11.17373,ema_3|ema_8,2.24271
1,0,41,64,50.08552,10.81177,1.96489,0.47465,0.01881,25.54997,ema_3|ema_8,1.06479
20,0,37,59,57.76945,10.16404,0.45747,0.56384,0.01351,21.1162,ema_3|ema_8,-8.81315
