trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_mode,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
439,0.0024,0.00211,0.05802,8.00093,5.58329,median_nonzero,0,0,97,7.57641,0.10317,-1.70903,0.0018,0.00373,24.46166,338503572087.00366
408,0.003,0.00227,0.05653,8.00033,5.53907,median_nonzero,0,0,97,7.61964,0.10195,-1.41689,0.0075,0.00375,24.96173,336400834788.1478
411,0.00292,0.00214,0.05484,8.0004,5.53536,median_nonzero,0,0,97,7.60478,0.10455,-1.53575,0.00755,0.00403,24.94943,336015303155.91724
398,0.00305,0.00205,0.05597,8.0003,5.54195,median_nonzero,0,0,97,7.59065,0.10342,-1.46594,0.00788,0.00219,23.50355,335859726770.3607
250,0.00246,0.00411,0.05941,8.00058,5.63453,median_nonzero,0,0,95,7.57742,0.10407,0.11168,0.00732,0.00295,6.1179,335624594516.2969
383,0.00322,0.00208,0.05735,8.00029,5.56922,median_nonzero,0,0,98,7.60121,0.10159,-1.01168,0.00724,0.00389,24.13577,335609303450.31226
247,0.00259,0.00402,0.05951,8.00056,5.64167,median_nonzero,0,0,95,7.53785,0.10007,0.07216,0.00719,0.00309,23.2159,335609187745.78253
254,0.00245,0.0042,0.05934,8.00016,5.6341,median_nonzero,0,0,94,7.55413,0.10003,0.07801,0.00677,0.00284,23.62185,335559239743.0727
252,0.00236,0.00411,0.05997,8.0008,5.66468,median_nonzero,0,0,95,7.54256,0.10145,0.08155,0.00737,0.0028,23.95637,335528587886.4035
407,0.00292,0.00213,0.05662,8.00064,5.60073,median_nonzero,0,0,96,7.61713,0.10211,-1.4897,0.00765,0.00406,24.37905,335177291555.5765
236,0.0028,0.00415,0.05942,8.00024,5.69075,median_nonzero,0,0,95,7.54048,0.10459,0.15332,0.0073,0.00298,6.82612,334872742202.09564
290,0.0024,0.00403,0.05866,8.00318,5.61156,median_nonzero,0,0,95,7.57944,0.10421,0.3652,0.00719,0.00265,6.10996,334786135789.2336
380,0.00327,0.00208,0.05747,8.00197,5.59243,median_nonzero,0,0,98,7.68031,0.10026,-1.43048,0.00744,0.00362,23.55356,334770413028.4544
373,0.0033,0.00395,0.05737,8.00111,5.59959,median_nonzero,0,0,97,7.63144,0.10014,0.32436,0.00736,0.0035,24.64746,334768879298.0041
244,0.00278,0.00421,0.05859,8.00029,5.72293,median_nonzero,0,0,95,7.60061,0.10168,0.14569,0.00709,0.00299,6.92559,334722893645.79486
317,0.00301,0.00426,0.05947,8.00027,5.68965,median_nonzero,0,0,96,7.63268,0.10167,0.13518,0.00774,0.00278,7.35765,334659901700.0385
242,0.00219,0.00417,0.05939,8.00074,5.7131,median_nonzero,0,0,95,7.60547,0.10147,0.28474,0.00752,0.00274,6.39303,334463562923.9218
179,0.00242,0.00417,0.05989,8.00341,5.66321,median_nonzero,0,0,95,7.60087,0.10404,0.13345,0.00755,0.00288,6.04041,334462787866.3274
404,0.00299,0.00219,0.05619,8.00177,5.63645,median_nonzero,0,0,97,7.55961,0.10011,-1.61447,0.00748,0.00383,24.496,334435369070.56744
315,0.00305,0.00429,0.05948,8.00204,5.68833,median_nonzero,0,0,96,7.6543,0.1016,0.15005,0.00741,0.00293,18.46314,334403557180.1372
386,0.00357,0.00212,0.05672,8.00021,5.55947,median_nonzero,0,0,98,7.52606,0.1,-1.33919,0.00746,0.00365,23.70858,334316657794.90564
370,0.00224,0.00227,0.05875,8.00041,5.68059,median_nonzero,0,0,96,7.67158,0.1,0.297,0.00741,0.00312,24.08065,334209434716.95056
372,0.00325,0.00404,0.05766,8.00271,5.66896,median_nonzero,0,0,96,7.6363,0.1,0.30546,0.00737,0.00327,24.02694,334128170756.94885
384,0.00362,0.00204,0.05683,8.00161,5.56654,median_nonzero,0,0,99,7.53097,0.10019,-1.42554,0.00727,0.00396,24.19762,334066600916.7719
231,0.00238,0.00419,0.05829,8.00058,5.68919,median_nonzero,0,0,94,7.64558,0.10174,0.24926,0.00773,0.00293,6.27273,333951273649.6176
178,0.00253,0.00417,0.05994,8.00303,5.66711,median_nonzero,0,0,94,7.57191,0.10244,0.14142,0.00757,0.0029,6.04619,333947357477.325
417,0.00294,0.00223,0.05647,8.00048,5.59384,median_nonzero,0,0,99,7.58102,0.10498,-1.80095,0.00731,0.00404,24.34649,333906094879.24646
336,0.00283,0.00402,0.05847,8.00044,5.65801,median_nonzero,0,0,97,7.60134,0.10225,0.17138,0.00827,0.00294,7.94946,333887667802.43176
