trial,reset_peak,rsi_min_thresh,rsi_max_thresh,vol_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,tc_pair,avg_daily_pnl
111,0,19,94,3.82239,58.56413,1.50373,-6.60772,0.95715,0.98112,10.2933,ema_21|ema_50,24.64661
110,0,19,94,3.83473,58.5772,1.50494,-5.41884,0.95552,0.97712,10.24962,ema_21|ema_50,24.61981
94,0,24,97,3.82664,58.71766,1.00625,-12.12225,0.9298,0.94118,8.26076,ema_21|ema_50,24.24211
107,0,17,90,3.63718,58.55125,1.676,-7.31616,0.989,0.93842,10.81638,ema_21|ema_50,24.02099
77,0,31,75,3.70443,58.28274,1.06496,-4.66426,0.94878,0.87416,9.22248,ema_21|ema_50,23.71381
83,0,31,84,3.83199,57.97224,1.06042,-8.62829,0.95213,0.81467,10.56639,ema_21|ema_50,23.45735
82,0,31,81,3.81979,58.00053,0.84559,-8.94786,0.95322,0.74213,10.42815,ema_21|ema_50,23.43136
76,0,37,75,3.58647,58.2771,1.3392,-4.94788,0.97215,0.89964,9.06917,ema_21|ema_50,23.32796
90,0,28,91,3.57523,58.43665,0.86548,-10.25336,0.94698,0.87173,10.64007,ema_21|ema_50,23.16149
71,0,40,78,3.80651,58.51555,1.23264,-4.70773,0.74419,0.95399,8.73666,ema_21|ema_50,23.12894
70,0,40,77,3.78698,58.54484,1.23017,-4.67675,0.73908,0.99901,8.63654,ema_21|ema_50,23.10313
103,0,22,93,3.83296,58.22796,1.27881,-10.2681,0.91056,0.90047,9.75132,ema_21|ema_50,23.01422
101,0,23,94,3.84115,58.10004,1.11522,-9.2857,0.9093,0.82652,10.37288,ema_21|ema_50,22.94602
22,0,34,77,3.64026,58.26758,2.51632,-1.36062,0.83026,0.8653,9.48176,ema_21|ema_50,22.88104
33,0,38,67,3.68484,57.14614,0.52442,-2.39117,0.96181,0.85875,8.75255,ema_21|ema_50,22.79862
84,0,27,92,3.84626,57.97234,1.06245,-9.38314,0.89708,0.80203,10.54672,ema_21|ema_50,22.77663
32,0,38,66,3.71818,57.29956,0.73976,-5.11996,0.95881,0.84504,5.99332,ema_21|ema_50,22.766
79,0,31,84,3.69281,58.23807,0.57485,-7.19118,0.95115,0.84945,8.99881,ema_21|ema_50,22.73673
86,0,25,87,3.82816,57.9854,1.29741,-8.55755,0.88349,0.80774,11.16702,ema_21|ema_50,22.61014
92,0,31,92,3.76856,58.09721,0.71408,-9.05709,0.91591,0.68894,9.87777,ema_21|ema_50,22.36316
6,0,32,74,3.61683,57.51747,3.59212,-1.85164,0.93325,0.55238,19.32491,ema_21|ema_50,22.28285
95,0,19,99,3.42529,58.71405,1.40575,-11.39752,0.99817,0.93009,8.36975,ema_21|ema_50,22.13001
100,0,20,76,3.27562,58.42483,0.7382,-13.83323,0.94368,0.96835,10.17367,ema_21|ema_50,21.21453
44,0,35,73,3.48865,57.61576,1.61738,-1.82464,0.7234,0.9203,3.68639,ema_21|ema_50,21.14684
