trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_mode,reset_peak,rsi_min_thresh,rsi_max_thresh,vol_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl,thresh_window
6,1.18775,0.47014,0.0112,238.64713,41.77871,mean_nonzero,0,54,72,3.54838,14.33563,7.21616,-0.54937,0.38199,0.48238,6.70067,620.38718,
3,0.16114,0.13082,0.0202,341.28359,94.36019,median_nonzero,0,37,58,5.88869,13.17907,3.02216,4.86776,0.68676,0.91525,3.65664,325.96952,
4,1.08432,0.16351,0.00359,188.11317,43.57515,mean_nonzero,0,16,36,1.621,40.01427,6.12806,-0.76854,0.28236,0.57633,5.71482,215.89338,
1,1.28588,0.18062,0.03008,472.98398,46.66763,median_nonzero,1,7,85,2.10198,43.87042,5.72802,-0.14933,0.26176,0.688,7.75785,79.15058,
0,0.5496,0.20045,0.04136,114.82746,503.34316,mean_nonzero,0,61,87,4.2881,34.42374,0.8025,0.63384,0.56586,0.44438,5.84127,69.54821,
5,0.94164,0.16355,0.02651,470.65603,344.32642,roll_mean,1,26,86,4.76116,42.77424,2.44184,-0.29657,0.62037,0.018,6.06517,14.47995,45.0
2,0.89675,0.18135,0.02067,82.7147,556.30523,p90,1,53,61,2.93904,31.17599,0.70297,4.41161,0.39306,0.36266,1.87539,13.02985,
