trial,col_signal,sign_thresh,reset_peak,rsi_min_thresh,rsi_max_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
1585,ema_9,ema_21,1,97,186,28.8792,6.01307,0.98523,0.9991,82.82588,13:30:00,89.64112
1420,ema_9,ema_21,1,97,141,28.87886,6.00864,0.96722,0.99896,82.56846,13:30:00,89.51938
1567,ema_9,ema_21,1,97,179,28.83042,6.01105,0.96837,0.99917,83.44022,13:30:00,89.43146
1263,ema_9,ema_21,1,97,144,28.90623,6.00032,0.93191,0.99529,83.018,13:30:00,88.91445
1579,ema_9,ema_21,1,97,184,28.86915,6.02625,0.97645,0.99692,82.44552,13:30:00,88.84577
1187,ema_9,ema_21,1,97,141,28.79672,6.0018,0.89826,0.99852,82.33661,13:30:00,88.84364
1241,ema_9,ema_21,1,97,134,28.52597,6.01663,0.97536,0.9955,80.38571,13:30:00,88.81337
1462,ema_9,ema_21,1,97,146,28.90864,6.0318,0.98188,0.99766,81.32134,13:30:00,88.75312
432,ema_9,ema_21,1,97,143,28.85657,6.00815,0.90431,0.99812,83.99535,13:30:00,88.71348
506,ema_9,ema_21,1,97,143,28.85971,5.99922,0.88948,0.99736,83.23313,13:30:00,88.68211
489,ema_9,ema_21,1,97,141,28.9695,6.01742,0.88474,0.99923,82.172,13:30:00,88.52196
1269,ema_9,ema_21,1,97,147,29.01884,6.02011,0.96992,0.99481,83.74157,13:30:00,88.49573
497,ema_9,ema_21,1,97,138,29.06384,6.0022,0.88375,0.99679,82.822,13:30:00,88.49218
395,ema_9,ema_21,1,97,135,29.05707,6.00557,0.89646,0.99491,83.12365,13:30:00,88.4561
1427,ema_9,ema_21,1,97,141,29.10254,6.00909,0.97047,0.99894,83.39537,13:30:00,88.45608
942,ema_9,ema_21,1,97,146,28.95099,6.00962,0.90602,0.99568,51.55857,13:30:00,88.42936
1356,ema_9,ema_21,1,97,144,29.06789,6.01338,0.93269,0.99631,82.67674,13:30:00,88.37996
632,ema_9,ema_21,1,97,139,28.88178,6.01082,0.86119,0.99819,50.27779,13:30:00,88.35788
1408,ema_9,ema_21,1,97,143,28.98246,6.03622,0.96171,0.99731,83.81418,13:30:00,88.26226
1498,ema_9,ema_21,1,97,184,29.17321,6.00674,0.96628,0.99722,82.59599,13:30:00,88.1907
735,ema_9,ema_21,1,97,148,28.84933,6.01094,0.87827,0.9949,83.87869,13:30:00,88.15116
1538,ema_9,ema_21,1,97,173,29.18833,6.0103,0.98023,0.99589,82.88991,13:30:00,88.14835
1490,ema_9,ema_21,1,97,137,29.22754,6.0058,0.95995,0.99701,82.87766,13:30:00,88.13197
1130,ema_9,ema_21,1,97,140,29.04974,6.00426,0.89697,0.99513,50.0231,13:30:00,88.10202
1509,ema_9,ema_21,1,97,183,29.15422,5.99967,0.95139,0.99678,82.65415,13:30:00,88.09255
1435,ema_9,ema_21,1,97,138,28.69296,6.00637,0.9688,0.9991,82.67801,13:30:00,88.08735
1474,ema_9,ema_21,1,97,139,29.05408,6.09473,0.96911,0.9971,82.28776,13:30:00,88.02104
428,ema_9,ema_21,1,97,146,28.82295,6.03454,0.90359,0.99988,83.96165,13:30:00,88.01332
1320,ema_9,ema_21,1,97,143,28.61941,6.0206,0.9789,0.99632,64.07617,13:30:00,87.93667
1393,ema_9,ema_21,1,97,143,28.68878,6.01189,0.94584,0.99852,83.35483,13:30:00,87.89024
1137,ema_9,ema_21,1,97,143,29.09563,6.00341,0.89108,0.99906,83.84235,13:30:00,87.86215
851,ema_9,ema_21,1,97,125,28.90362,6.03117,0.87662,0.99657,84.39818,13:30:00,87.82618
1276,ema_9,ema_21,1,97,144,29.17464,6.0164,0.93572,0.99498,83.08,13:30:00,87.75503
1523,ema_9,ema_21,1,97,185,28.95669,6.0539,0.9697,0.99626,80.88474,13:30:00,87.73527
