trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_mode,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
961,0.01241,0.00546,0.05298,9.1293,6.34975,median_nonzero,0,1,70,7.18282,0.20063,-1.93045,0.00251,0.01335,18.07607,142044772254.3767
1308,0.0139,0.00496,0.05871,9.09162,6.3857,median_nonzero,0,1,73,7.19147,0.20012,-1.96688,0.00193,0.03734,9.82167,142025804457.12616
1431,0.01078,0.00455,0.05358,9.13305,6.33249,median_nonzero,0,0,72,7.14166,0.20377,-2.05967,0.00299,0.01214,14.30185,141987475275.52704
1465,0.01238,0.00485,0.05935,9.06505,6.28519,median_nonzero,0,2,74,7.10705,0.21545,-1.98596,0.0022,0.00867,19.95334,141981956097.8116
257,0.01075,0.00509,0.05044,9.05872,6.95053,median_nonzero,0,1,72,7.66963,0.20364,-2.5105,0.0057,0.02478,25.08483,141980782176.29648
1094,0.01139,0.00475,0.05319,9.10025,6.29712,median_nonzero,0,2,73,7.15128,0.20332,-2.00854,0.00152,0.00976,19.4113,141979764473.8474
1040,0.01119,0.00494,0.05479,9.13101,6.33744,median_nonzero,0,1,71,7.21578,0.20652,-2.0308,0.00189,0.01061,16.8701,141972629859.24023
907,0.01209,0.00461,0.05114,9.11012,6.16376,median_nonzero,0,2,76,7.08879,0.20648,-2.25411,0.00127,0.00757,20.22527,141972497549.2399
201,0.01403,0.00384,0.06672,9.03882,6.69685,median_nonzero,0,1,67,7.46185,0.20769,-1.97506,0.00265,0.02452,26.63311,141912922487.82965
616,0.01128,0.00527,0.05936,9.12556,6.48195,median_nonzero,0,0,78,7.26785,0.20432,-2.04478,0.00148,0.01104,23.5516,141902219202.204
804,0.01261,0.00515,0.05011,9.10721,6.26225,median_nonzero,0,1,76,7.12745,0.21429,-2.22377,0.00117,0.00856,21.43088,141885466791.9354
561,0.01004,0.00412,0.06073,9.0377,7.73112,median_nonzero,0,0,74,7.96458,0.2063,-1.94861,0.005,0.0111,22.52455,141875158180.2795
210,0.01117,0.00352,0.05578,9.07966,6.77902,median_nonzero,0,1,70,7.51911,0.20611,-2.15455,0.0055,0.01956,23.61623,141830768448.92926
992,0.01213,0.00525,0.0524,9.10513,6.30381,median_nonzero,0,2,70,7.16482,0.20017,-1.95894,0.00209,0.01252,19.49565,141789755286.22748
562,0.01202,0.00469,0.06253,9.09811,6.36878,median_nonzero,0,0,73,7.91496,0.20842,-1.91363,0.00538,0.01156,21.89997,141707817311.88776
1417,0.01243,0.0077,0.0516,9.11657,6.17521,median_nonzero,0,1,74,7.15741,0.2036,-2.02032,0.00139,0.01201,19.78601,141683212896.72104
517,0.01135,0.00495,0.05707,9.09414,6.38186,median_nonzero,0,0,73,7.45322,0.21346,-1.72725,0.00468,0.01337,22.63674,141623062283.60678
170,0.01169,0.00325,0.04538,9.04924,6.77891,median_nonzero,0,1,63,7.62322,0.21274,-2.45901,0.00339,0.0275,27.11511,141589930918.59152
