trial,col_signal,sign_thresh,reset_peak,rsi_min_thresh,rsi_max_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
326,ema_9,ema_21,0,100,144,17.60718,9.99855,0.45422,0.38219,25.78394,14:30:00,56.56668
307,ema_9,ema_21,0,100,150,17.02052,9.97954,0.43169,0.36978,27.14304,14:30:00,56.30985
313,ema_9,ema_21,0,100,148,16.72379,9.99669,0.42815,0.35785,26.61928,14:30:00,55.59037
309,ema_9,ema_21,0,100,144,17.49969,9.99039,0.41782,0.37492,26.48966,14:30:00,55.41585
310,ema_9,ema_21,0,100,147,16.84038,9.97801,0.41386,0.35006,26.51977,14:30:00,55.13526
312,ema_9,ema_21,0,100,147,16.86381,9.97564,0.42802,0.37406,25.65609,14:30:00,54.75154
311,ema_9,ema_21,0,100,147,17.08693,9.95494,0.4137,0.37018,25.90218,14:30:00,53.92848
317,ema_9,ema_21,0,100,145,17.52532,9.98015,0.38353,0.32858,25.04273,14:30:00,53.78331
319,ema_9,ema_21,0,100,150,17.36597,9.97023,0.4659,0.34239,26.18157,14:30:00,51.53428
146,ema_9,ema_21,0,100,179,17.60599,9.65757,0.07852,0.99373,25.8046,13:30:00,51.0054
315,ema_9,ema_21,0,100,149,17.76429,9.95882,0.39438,0.34426,25.38258,14:30:00,48.43561
304,ema_9,ema_21,0,100,149,17.39924,9.97529,0.19771,0.40121,28.03389,13:30:00,47.4276
316,ema_9,ema_21,0,100,145,16.30515,9.9656,0.39181,0.31978,25.02121,14:30:00,47.3094
121,ema_9,ema_21,0,98,195,16.55209,8.7476,0.03547,0.60544,17.41033,13:30:00,45.94487
305,ema_9,ema_21,0,100,145,17.03194,9.95678,0.33099,0.38117,26.88145,13:30:00,45.50576
243,ema_9,ema_21,0,98,115,21.62674,9.98847,0.20797,0.93923,41.71838,13:30:00,45.1558
293,ema_9,ema_21,0,97,149,19.95498,9.67453,0.18053,0.90411,31.63751,13:30:00,43.7871
232,ema_9,ema_21,0,96,111,21.69325,9.99442,0.18588,0.96287,36.39068,13:30:00,43.62551
301,ema_9,ema_21,0,97,147,21.56518,9.61297,0.19252,0.91862,31.67975,13:30:00,43.58091
296,ema_9,ema_21,0,100,146,19.96648,9.46035,0.22733,0.90402,31.66419,13:30:00,43.25675
