trial,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,sign_thresh_pair,avg_daily_pnl
1588,0,23,50,56.08266,2.69885,1.81362,0.00687,0.05001,46.815,ema_9|ema_21,10.14719
1535,0,21,51,56.14722,2.42411,1.79742,0.00733,0.05018,48.16914,ema_9|ema_21,10.06703
1527,0,21,52,56.12216,2.75195,1.81169,0.0074,0.05001,49.3583,ema_9|ema_21,10.05899
795,0,22,51,56.05451,2.85451,1.81511,0.00682,0.05019,55.87864,ema_9|ema_21,10.03846
1556,0,22,50,56.05397,2.45874,1.8149,0.00687,0.05449,49.4633,ema_9|ema_21,10.0336
762,0,21,52,55.86346,2.63268,1.80849,0.007,0.05465,54.09069,ema_9|ema_21,10.03138
978,0,20,51,55.99364,2.68764,1.73799,0.0069,0.05004,54.73612,ema_9|ema_21,10.02869
937,0,20,50,55.86299,2.69747,1.8255,0.00714,0.05,56.44364,ema_9|ema_21,10.02419
1496,0,22,50,56.04749,2.596,1.66424,0.00693,0.05027,50.59923,ema_9|ema_21,10.01469
808,0,22,52,55.99942,2.53198,1.84465,0.00673,0.05456,53.99039,ema_9|ema_21,10.00961
1237,0,21,52,56.1473,2.73854,1.93684,0.00717,0.05485,59.24126,ema_9|ema_21,10.00676
738,0,22,50,55.85797,2.54956,1.98669,0.00693,0.05001,55.80681,ema_9|ema_21,10.0057
866,0,23,51,55.87139,2.71311,1.66943,0.00661,0.05004,57.60401,ema_9|ema_21,10.00079
1533,0,22,51,56.13036,2.65086,1.88083,0.00843,0.05011,51.39253,ema_9|ema_21,10.00023
1259,0,23,53,55.98743,2.69116,1.93306,0.00661,0.05011,57.90002,ema_9|ema_21,9.9975
618,0,25,51,55.88681,2.69753,1.92552,0.00684,0.0505,49.73095,ema_9|ema_21,9.99678
1247,0,22,52,56.0829,2.71677,1.87116,0.00692,0.05492,58.17751,ema_9|ema_21,9.99625
1121,0,20,50,56.12186,2.64236,1.76451,0.00672,0.05003,49.62969,ema_9|ema_21,9.99255
1406,0,24,51,56.07959,2.53795,1.97342,0.00713,0.05012,53.74725,ema_9|ema_21,9.99239
1096,0,21,50,56.0729,2.79071,1.69665,0.00684,0.05009,47.74317,ema_9|ema_21,9.99042
806,0,22,51,55.93294,2.60339,1.84541,0.00675,0.05006,53.37936,ema_9|ema_21,9.98898
1549,0,22,50,55.98838,2.58999,1.83257,0.00678,0.05444,49.06987,ema_9|ema_21,9.98674
568,0,21,50,55.84027,2.6972,1.90377,0.00687,0.05008,50.8601,ema_9|ema_21,9.9838
1079,0,20,50,56.16247,2.74116,1.69509,0.0066,0.05028,55.81679,ema_9|ema_21,9.98206
981,0,20,51,56.07249,2.68806,1.7441,0.00703,0.05005,55.75037,ema_9|ema_21,9.98137
951,0,20,51,55.96504,2.57767,1.87308,0.00702,0.05,52.39011,ema_9|ema_21,9.9807
1212,0,22,50,56.02357,2.67656,1.969,0.0067,0.05007,55.17478,ema_9|ema_21,9.97227
1486,0,21,51,56.00309,2.57307,1.65973,0.00692,0.0544,53.89188,ema_9|ema_21,9.9704
1540,0,23,50,56.07657,2.28062,1.71392,0.00668,0.05012,47.07417,ema_9|ema_21,9.96669
1048,0,20,52,56.11109,2.66734,1.89417,0.00755,0.05001,57.14597,ema_9|ema_21,9.96492
1320,0,22,52,56.12052,2.95954,2.00083,0.00831,0.05001,55.87218,ema_9|ema_21,9.96234
765,0,21,52,55.99748,2.72863,1.81021,0.00699,0.05675,55.19735,ema_9|ema_21,9.96022
887,0,21,51,56.08923,2.49745,1.68307,0.00742,0.05001,55.38094,ema_9|ema_21,9.95854
1228,0,21,51,56.13617,2.80842,1.94544,0.00648,0.05007,54.80696,ema_9|ema_21,9.95416
705,0,22,50,55.96044,2.48736,1.91715,0.00702,0.05008,57.70986,ema_9|ema_21,9.95382
533,0,20,52,56.00476,2.95008,1.80267,0.00672,0.05435,47.45375,ema_9|ema_21,9.95066
989,0,20,50,55.94112,2.68864,1.7573,0.00688,0.05448,55.7657,ema_9|ema_21,9.94727
994,0,20,50,56.11834,2.47018,1.74312,0.00696,0.05464,55.50003,ema_9|ema_21,9.94589
1171,0,21,50,55.98183,2.33212,1.93041,0.00701,0.05024,53.91003,ema_9|ema_21,9.9455
1253,0,22,52,56.19561,2.83476,1.97655,0.00684,0.05008,58.06014,ema_9|ema_21,9.94336
603,0,22,50,55.8737,2.67102,1.96091,0.00673,0.05438,50.12527,ema_9|ema_21,9.9419
1110,0,20,50,55.89308,2.49631,1.64861,0.00666,0.05023,48.91614,ema_9|ema_21,9.93992
1278,0,24,52,56.30699,2.5989,1.95904,0.0084,0.05004,57.12428,ema_9|ema_21,9.93813
1299,0,21,52,56.00131,2.54197,1.81313,0.00641,0.05019,56.93921,ema_9|ema_21,9.93659
823,0,22,52,56.11788,2.48465,1.67017,0.00665,0.05763,54.25474,ema_9|ema_21,9.9331
1311,0,22,51,56.26553,2.70877,1.79534,0.00743,0.05007,53.17467,ema_9|ema_21,9.93267
1267,0,23,52,56.10838,2.74039,1.91118,0.00722,0.05489,57.11173,ema_9|ema_21,9.93189
548,0,21,50,55.7966,2.66691,1.79723,0.00716,0.05018,49.056,ema_9|ema_21,9.92997
1324,0,23,51,56.12874,2.94819,2.0068,0.00847,0.05029,55.28493,ema_9|ema_21,9.92984
1316,0,21,51,55.99037,2.52037,1.9272,0.00661,0.05458,52.56807,ema_9|ema_21,9.92956
878,0,22,51,55.9594,2.5661,1.64541,0.00711,0.05416,55.99485,ema_9|ema_21,9.92554
502,0,21,53,56.1017,2.82325,1.8852,0.00688,0.05565,47.65616,ema_9|ema_21,9.92407
1274,0,22,52,55.89416,2.62838,1.953,0.00567,0.05007,56.80037,ema_9|ema_21,9.92062
1130,0,21,51,56.07506,2.74409,1.80451,0.00589,0.05012,51.14218,ema_9|ema_21,9.92058
758,0,21,51,55.95134,2.63175,1.858,0.0068,0.05507,55.48293,ema_9|ema_21,9.9157
953,0,20,51,55.87912,2.64509,1.92188,0.00693,0.05465,55.82995,ema_9|ema_21,9.91427
595,0,23,50,55.77215,2.64022,1.9849,0.00682,0.05048,51.99024,ema_9|ema_21,9.91397
1006,0,20,51,56.08539,2.43105,1.65579,0.00777,0.0501,56.73885,ema_9|ema_21,9.91233
1516,0,21,50,56.28208,2.53065,1.65812,0.00677,0.05449,52.46189,ema_9|ema_21,9.91221
540,0,20,51,55.77832,2.688,1.79638,0.00737,0.05006,50.37224,ema_9|ema_21,9.91178
810,0,22,52,56.28782,2.6231,1.83158,0.00666,0.05812,54.30648,ema_9|ema_21,9.91151
1015,0,21,51,56.52347,2.5346,1.74438,0.0068,0.05014,54.23965,ema_9|ema_21,9.91142
1421,0,24,51,56.15557,1.57219,1.8303,0.00673,0.05494,54.74506,ema_9|ema_21,9.91067
760,0,21,52,55.94096,2.64259,1.85341,0.00692,0.05806,54.68894,ema_9|ema_21,9.90939
971,0,20,51,56.04254,2.65101,1.85211,0.00663,0.05481,51.91144,ema_9|ema_21,9.90888
625,0,24,51,55.67145,2.61061,1.98404,0.00713,0.05028,57.48448,ema_9|ema_21,9.9068
856,0,22,51,56.0677,2.54555,1.6654,0.00793,0.0502,51.97351,ema_9|ema_21,9.90629
659,0,24,51,55.67358,2.54883,1.82633,0.0065,0.05065,54.69961,ema_9|ema_21,9.90628
1457,0,20,52,56.12336,2.54185,1.74972,0.00555,0.05424,50.7857,ema_9|ema_21,9.90577
671,0,23,51,55.91899,2.58042,1.90719,0.00652,0.05012,54.67587,ema_9|ema_21,9.90505
1543,0,22,51,55.92303,2.48808,1.81282,0.00631,0.05008,48.98996,ema_9|ema_21,9.90433
1077,0,20,50,56.02015,2.66292,1.94544,0.00699,0.05477,54.56626,ema_9|ema_21,9.90423
697,0,22,50,55.95023,2.74373,1.90255,0.00708,0.05446,56.01208,ema_9|ema_21,9.90403
753,0,21,51,56.01953,2.72256,1.90329,0.00683,0.05556,55.13777,ema_9|ema_21,9.90402
815,0,21,52,56.15524,2.64832,1.81975,0.00702,0.06231,53.77275,ema_9|ema_21,9.90368
1161,0,21,50,56.37212,2.78279,1.84199,0.0068,0.0501,50.90624,ema_9|ema_21,9.90349
1057,0,22,52,56.08049,2.97316,1.87039,0.00817,0.0501,59.05688,ema_9|ema_21,9.90233
572,0,21,50,55.80079,2.59989,1.96177,0.00697,0.05056,53.03828,ema_9|ema_21,9.90149
724,0,22,50,55.81971,2.60471,1.95615,0.00685,0.05017,58.14628,ema_9|ema_21,9.90022
957,0,20,50,55.95955,2.74892,1.83681,0.00683,0.05811,54.4128,ema_9|ema_21,9.89843
973,0,20,50,55.65891,2.75004,1.77009,0.00688,0.05006,56.54288,ema_9|ema_21,9.89779
636,0,24,51,55.72932,2.70994,1.90891,0.00672,0.05014,49.50404,ema_9|ema_21,9.89739
607,0,23,50,55.87165,2.51729,1.99395,0.00731,0.05402,51.6723,ema_9|ema_21,9.89738
536,0,20,51,55.83781,2.74158,1.78043,0.00692,0.05048,47.76455,ema_9|ema_21,9.89733
717,0,23,50,55.97581,2.39872,2.00638,0.0069,0.05028,59.10397,ema_9|ema_21,9.89715
712,0,22,50,55.691,2.51162,1.90394,0.00692,0.05026,58.86319,ema_9|ema_21,9.89687
1510,0,39,50,56.08557,2.52941,1.62076,0.00718,0.05006,50.12436,ema_9|ema_21,9.89645
1413,0,24,51,56.08343,2.71031,2.09767,0.00703,0.05003,51.79042,ema_9|ema_21,9.89629
593,0,21,50,55.77728,2.63507,1.97042,0.00685,0.05026,53.59436,ema_9|ema_21,9.8935
928,0,21,51,56.25944,2.57025,1.69795,0.00721,0.05009,53.27353,ema_9|ema_21,9.8933
1165,0,21,51,55.95105,2.51692,1.8137,0.00641,0.05483,55.32972,ema_9|ema_21,9.89233
920,0,20,50,55.93581,2.66336,1.71449,0.00662,0.05451,56.8837,ema_9|ema_21,9.89155
1367,0,20,51,55.67505,2.56497,1.93026,0.0069,0.05505,54.2916,ema_9|ema_21,9.88947
1446,0,22,52,55.90766,2.64929,1.66885,0.00569,0.05011,57.1328,ema_9|ema_21,9.88865
1178,0,21,50,55.7447,2.64658,1.88015,0.00698,0.05032,51.7554,ema_9|ema_21,9.88839
770,0,22,52,55.91694,2.68455,1.78862,0.00687,0.05594,55.51105,ema_9|ema_21,9.88826
1458,0,22,51,55.93672,2.3674,1.99993,0.00677,0.05014,56.67508,ema_9|ema_21,9.88815
1404,0,21,52,56.4338,2.71125,1.79604,0.0083,0.05,55.00922,ema_9|ema_21,9.8876
962,0,20,52,56.06349,2.77627,1.87375,0.00718,0.05466,51.43626,ema_9|ema_21,9.8875
749,0,21,51,56.05671,2.65943,1.96467,0.00683,0.05802,55.85939,ema_9|ema_21,9.88749
1067,0,21,53,56.14694,2.64448,1.93758,0.00644,0.05845,52.46987,ema_9|ema_21,9.88635
960,0,20,50,55.8456,2.66644,1.81977,0.00657,0.05539,52.76075,ema_9|ema_21,9.88576
1265,0,23,53,56.28096,2.8769,1.92901,0.00665,0.05011,58.88002,ema_9|ema_21,9.88409
946,0,20,50,55.99563,2.6242,1.57835,0.00757,0.05002,56.86166,ema_9|ema_21,9.88401
698,0,23,50,55.97743,2.59014,1.92062,0.00639,0.05003,58.71914,ema_9|ema_21,9.88358
1250,0,22,53,56.31014,2.74398,1.87974,0.0072,0.05001,58.3572,ema_9|ema_21,9.87978
740,0,22,50,55.89281,2.48618,1.98745,0.00739,0.05016,58.19938,ema_9|ema_21,9.87868
1202,0,22,50,55.89228,2.81721,1.75979,0.00664,0.05016,12.37899,ema_9|ema_21,9.87836
727,0,22,50,55.86038,2.53427,1.94976,0.00736,0.05484,57.87857,ema_9|ema_21,9.87685
1083,0,20,50,56.20221,2.75407,1.62907,0.00661,0.0504,49.04263,ema_9|ema_21,9.87643
843,0,22,52,55.9748,2.68198,1.871,0.00695,0.06188,52.46478,ema_9|ema_21,9.87548
678,0,24,50,55.60304,2.47479,1.93573,0.00691,0.0502,53.88457,ema_9|ema_21,9.8745
1289,0,21,51,56.03502,2.61436,1.8699,0.00653,0.05444,58.2777,ema_9|ema_21,9.87375
1383,0,21,52,56.31588,2.45511,1.93201,0.00709,0.05483,52.17025,ema_9|ema_21,9.87362
1295,0,22,52,55.89567,2.66851,1.81619,0.00674,0.05868,57.70319,ema_9|ema_21,9.87157
1153,0,20,51,56.28061,2.35831,1.72121,0.00668,0.05014,52.19781,ema_9|ema_21,9.87029
993,0,21,50,55.99943,2.68511,1.68064,0.00633,0.05,58.22284,ema_9|ema_21,9.87004
969,0,21,52,55.98458,2.30639,1.90955,0.00596,0.05004,13.48327,ema_9|ema_21,9.86962
1270,0,22,52,55.77472,2.74515,1.9404,0.00715,0.05514,59.77452,ema_9|ema_21,9.8672
687,0,23,51,55.76755,2.80299,1.93436,0.00695,0.05011,52.68568,ema_9|ema_21,9.86626
1432,0,20,51,56.13984,2.00386,1.68445,0.00645,0.05001,53.30749,ema_9|ema_21,9.86618
1085,0,20,50,56.12634,2.73349,1.68266,0.00622,0.05038,52.13264,ema_9|ema_21,9.866
570,0,21,50,55.80924,2.57103,1.90998,0.00692,0.05022,50.71805,ema_9|ema_21,9.86554
655,0,23,50,55.76396,2.74313,1.88465,0.00655,0.05037,50.64252,ema_9|ema_21,9.86537
936,0,21,51,56.34149,2.49772,1.73683,0.0069,0.05459,50.87046,ema_9|ema_21,9.86521
721,0,23,50,55.86408,2.28431,1.98041,0.00632,0.0502,57.93135,ema_9|ema_21,9.864
1275,0,22,52,56.17145,2.95541,2.01857,0.00663,0.05008,58.93773,ema_9|ema_21,9.86393
855,0,21,52,55.90037,2.77623,1.75927,0.00692,0.05354,54.99286,ema_9|ema_21,9.86263
922,0,22,51,56.17344,2.55335,1.79106,0.00722,0.05004,50.07901,ema_9|ema_21,9.86258
1296,0,21,51,56.11616,2.60399,1.97537,0.00756,0.05472,55.87405,ema_9|ema_21,9.86141
1411,0,24,51,56.08635,2.96425,1.97058,0.00771,0.05002,54.23312,ema_9|ema_21,9.86059
