trial,col_signal,sign_thresh,reset_peak,rsi_thresh,atr_mult,vwap_atr_mult,invest_frac,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
496,ema_9,ema_21,1,64,12.33736,-0.60112,0.00911,0.04362,0.61575,46.10319,13:30:00,47.24253
467,ema_9,ema_21,1,68,12.29658,-2.07946,0.01152,0.01054,0.63182,44.26508,13:30:00,47.20488
492,ema_9,ema_21,1,62,12.33444,-0.40406,0.00729,0.03344,0.65106,46.00903,13:30:00,46.19179
472,ema_9,ema_21,1,65,12.35078,-2.02356,0.00851,0.04422,0.61305,43.23229,13:30:00,45.81579
490,ema_9,ema_21,1,59,12.7069,-0.43808,0.0076,0.04135,0.62364,46.40247,13:30:00,45.02221
481,ema_9,ema_21,1,60,12.69832,-1.52934,0.00825,0.09127,0.6472,45.61623,13:30:00,44.72878
410,ema_9,ema_21,1,61,13.27367,0.17428,0.00786,0.10021,0.64687,40.43394,13:30:00,44.48142
486,ema_9,ema_21,1,59,12.64138,-1.00396,0.0076,0.06268,0.59594,42.55064,13:30:00,43.68802
353,ema_9,ema_21,1,56,12.78949,0.17363,0.00656,0.07694,0.70687,37.94988,13:30:00,43.47883
459,ema_9,ema_21,1,68,12.89884,-0.91255,0.00881,0.04956,0.58396,46.24989,13:30:00,43.35997
420,ema_9,ema_21,1,63,13.45441,-0.41026,0.0081,0.05989,0.62624,40.61741,13:30:00,43.30048
389,ema_9,ema_21,1,52,12.55313,0.21755,0.00613,0.055,0.68435,35.83212,13:30:00,43.12992
442,ema_9,ema_21,1,63,13.31482,-0.98946,0.00849,0.05731,0.61843,45.42752,13:30:00,42.87945
412,ema_9,ema_21,1,62,13.50096,0.36235,0.00809,0.09353,0.63453,40.22211,13:30:00,42.77505
301,ema_9,ema_21,1,54,12.72021,-1.23757,0.00569,0.10794,0.71756,34.26074,13:30:00,42.57694
439,ema_9,ema_21,1,64,13.27654,-0.90017,0.00901,0.04903,0.61269,48.18797,13:30:00,42.50648
447,ema_9,ema_21,1,68,13.45353,-1.4215,0.00847,0.05814,0.60319,45.77844,13:30:00,42.47869
431,ema_9,ema_21,1,64,13.25328,-1.27706,0.00876,0.09733,0.62823,45.30514,13:30:00,42.41241
437,ema_9,ema_21,1,63,13.33329,-1.00638,0.00864,0.05249,0.62092,45.64337,13:30:00,42.396
366,ema_9,ema_21,1,56,13.32759,-0.19917,0.00939,0.11186,0.69753,38.61347,13:30:00,41.88444
405,ema_9,ema_21,1,57,13.32392,-0.56645,0.00772,0.04892,0.68473,41.32748,13:30:00,41.66118
297,ema_9,ema_21,1,54,12.65514,-1.33297,0.00605,0.10935,0.70136,36.14234,13:30:00,41.28432
395,ema_9,ema_21,1,62,11.54559,0.29812,0.00624,0.04428,0.65953,38.5594,13:30:00,41.25823
444,ema_9,ema_21,1,66,13.45383,-1.07773,0.00918,0.03627,0.56298,46.71998,13:30:00,41.02677
358,ema_9,ema_21,1,55,13.2586,-0.10449,0.00797,0.10837,0.68204,36.32823,13:30:00,41.02354
354,ema_9,ema_21,1,55,13.39669,0.1483,0.00758,0.08041,0.68539,37.5406,13:30:00,41.00944
415,ema_9,ema_21,1,60,13.50673,0.13179,0.00814,0.07686,0.63766,40.2991,13:30:00,40.92864
424,ema_9,ema_21,1,60,13.27634,-0.87868,0.00761,0.09377,0.62633,42.8366,13:30:00,40.91754
427,ema_9,ema_21,1,65,13.27845,-1.22753,0.00824,0.08025,0.58322,44.40186,13:30:00,40.78459
466,ema_9,ema_21,1,66,13.13895,-2.07395,0.00963,0.02939,0.63273,44.38538,13:30:00,40.75012
433,ema_9,ema_21,1,64,13.1963,-1.22328,0.01037,0.05517,0.61465,44.13741,13:30:00,40.67528
464,ema_9,ema_21,1,62,12.87103,-1.49779,0.01118,0.03582,0.60052,44.38083,13:30:00,40.40936
401,ema_9,ema_21,1,55,13.35784,-0.29243,0.00772,0.0379,0.67352,37.47609,13:30:00,40.38156
450,ema_9,ema_21,1,63,13.50722,-1.25589,0.01071,0.05812,0.60452,45.61866,14:30:00,38.95914
264,ema_9,ema_21,1,53,12.45121,-8.16049,0.00533,0.0644,0.6919,38.29654,13:30:00,38.95691
269,ema_9,ema_21,1,54,12.47341,-8.04494,0.00538,0.11354,0.71663,40.09351,13:30:00,38.79644
