trial,col_signal,sign_thresh,reset_peak,rsi_thresh,atr_mult,vwap_atr_mult,invest_frac,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
722,ema_9,ema_21,1,60,10.00578,0.38736,0.02568,0.25438,0.00501,0.35317,14:30:00,72.89915
392,sma_9,sma_21,1,60,7.84566,-3.22548,0.03945,0.26612,0.005,0.35403,14:30:00,72.85062
703,ema_9,ema_21,1,60,9.40167,-3.92253,0.02562,0.25947,0.00501,0.35427,14:30:00,72.81757
539,ema_9,ema_21,1,60,8.17623,-3.8418,0.02582,0.27741,0.00501,0.35572,14:30:00,72.8133
421,sma_9,sma_21,1,60,7.68689,-3.05671,0.04011,0.27347,0.005,0.35527,14:30:00,72.80434
537,ema_9,ema_21,1,60,8.10908,-3.76611,0.02471,0.27731,0.005,0.35545,14:30:00,72.8035
719,ema_9,ema_21,1,60,9.6493,-3.84388,0.02557,0.25605,0.00502,0.35349,14:30:00,72.78611
531,ema_9,ema_21,1,60,8.05626,-3.99449,0.0259,0.27347,0.00501,0.35842,14:30:00,72.77572
389,sma_9,sma_21,1,60,7.89766,-3.08088,0.0398,0.26611,0.00502,0.35378,14:30:00,72.77139
423,sma_9,sma_21,1,60,7.84157,-3.31512,0.04115,0.27452,0.00502,0.3549,14:30:00,72.77102
620,ema_9,ema_21,1,60,8.55197,-3.89773,0.02593,0.27284,0.005,0.35785,14:30:00,72.76251
642,ema_9,ema_21,1,60,8.85185,-3.92098,0.02574,0.27134,0.005,0.35924,14:30:00,72.75832
661,ema_9,ema_21,1,60,9.17277,-3.92549,0.02591,0.27542,0.005,0.35996,14:30:00,72.75778
704,ema_9,ema_21,1,60,9.34051,-3.94257,0.02537,0.26102,0.00501,0.35386,14:30:00,72.75317
678,ema_9,ema_21,1,60,9.21507,-3.78344,0.02608,0.27238,0.00501,0.35819,14:30:00,72.7528
708,ema_9,ema_21,1,60,9.25899,-3.89953,0.02562,0.25884,0.005,0.35463,14:30:00,72.75123
526,ema_9,ema_21,1,60,8.16571,-3.8131,0.02545,0.27413,0.00501,0.35983,14:30:00,72.7465
576,ema_9,ema_21,1,60,7.73443,-3.83776,0.02612,0.2714,0.00501,0.35909,14:30:00,72.73948
699,ema_9,ema_21,1,60,9.45697,-3.78982,0.02652,0.26258,0.00501,0.35632,14:30:00,72.73851
664,ema_9,ema_21,1,60,9.05618,-3.84828,0.0258,0.27384,0.00501,0.35853,14:30:00,72.73356
641,ema_9,ema_21,1,60,8.60213,-3.91765,0.02483,0.27283,0.00501,0.35925,14:30:00,72.73346
686,ema_9,ema_21,1,60,9.75925,-3.70164,0.02658,0.26855,0.00501,0.35543,14:30:00,72.73102
710,ema_9,ema_21,1,60,9.46564,-3.90415,0.02495,0.2598,0.005,0.35301,14:30:00,72.73049
