trial,col_signal,sign_thresh,reset_peak,rsi_min_thresh,rsi_max_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
279,ema_9,ema_21,1,94,129,19.97254,-8.39644,0.28996,0.17333,17.40143,13:30:00,-1.94686
214,ema_9,ema_21,1,95,96,21.28773,-6.69195,0.4503,0.08223,23.95208,13:30:00,-2.97758
45,ema_9,ema_21,0,97,260,16.94879,8.56652,0.05674,0.71138,12.38712,13:30:00,-3.48409
227,ema_9,ema_21,1,95,96,23.02202,-7.2541,0.37237,0.15119,19.21388,13:30:00,-4.03693
23,ema_9,ema_21,0,93,273,21.56405,-3.22873,0.07952,0.61145,21.36709,13:30:00,-4.38775
187,ema_9,ema_21,1,94,106,18.81591,-6.53227,0.33688,0.28331,29.71816,13:30:00,-4.79497
250,ema_9,ema_21,1,94,119,23.9455,-8.63639,0.36362,0.10018,10.86477,13:30:00,-4.85075
52,ema_9,ema_21,0,92,277,23.29799,-7.46396,0.04208,0.58555,35.24475,13:30:00,-5.4329
77,ema_9,ema_21,0,91,279,8.85776,-6.83546,0.01351,0.6918,20.77539,13:30:00,-5.65618
325,ema_9,ema_21,1,49,183,23.11341,3.64596,0.23555,0.03796,79.85611,13:30:00,-5.98815
280,ema_9,ema_21,1,42,91,22.09853,-9.21166,0.31097,0.04698,14.53164,13:30:00,-7.23352
267,ema_9,ema_21,1,94,100,27.47406,-8.54402,0.3179,0.13597,13.68442,08:00:00,-7.54839
218,ema_9,ema_21,1,76,91,23.98895,-5.8368,0.4799,0.06012,23.53461,13:30:00,-7.7368
88,ema_9,ema_21,0,89,267,23.83988,1.80861,0.02356,0.65727,5.7427,13:30:00,-8.08368
92,ema_9,ema_21,0,92,275,21.48398,-9.95966,0.05532,0.36085,43.62238,13:30:00,-8.70826
285,ema_9,ema_21,1,92,122,25.9226,-2.19086,0.26432,0.0787,9.09489,13:30:00,-8.79612
262,ema_9,ema_21,1,93,101,24.83051,-8.90454,0.39851,0.08229,16.5501,13:30:00,-8.97034
315,ema_9,ema_21,1,79,181,20.39368,2.45354,0.24588,0.04998,62.32146,13:30:00,-9.24355
106,ema_9,ema_21,0,96,277,17.28039,-7.95508,0.14418,0.61679,8.25573,13:30:00,-9.44786
32,ema_9,ema_21,0,95,286,29.62255,-6.59219,0.06392,0.60213,7.16644,13:30:00,-9.73904
33,ema_9,ema_21,0,95,264,19.40327,-4.87458,0.13993,0.48535,1.15525,13:30:00,-10.43785
334,ema_9,ema_21,1,81,175,19.74327,6.87588,0.21269,0.06353,77.05269,13:30:00,-10.69683
117,ema_9,ema_21,0,96,277,18.78731,-8.60885,0.99375,0.46748,56.60138,13:30:00,-10.91415
