trial,col_signal,sign_thresh,reset_peak,rsi_thresh,atr_mult,vwap_atr_mult,invest_frac,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
538,ema_9,ema_21,1,76,16.74868,2.2205,0.0069,0.23599,0.35519,23.16587,13:30:00,21.71061
588,ema_9,ema_21,1,67,18.62835,4.53031,0.02521,0.07931,0.8742,41.45063,14:30:00,21.70003
170,ema_9,ema_21,0,79,16.39622,-1.05465,0.03895,0.00533,0.11907,52.28595,14:30:00,21.63472
300,ema_9,ema_21,1,79,10.583,3.08139,0.02007,0.1504,0.74665,21.69298,13:30:00,21.63373
1396,ema_9,ema_21,1,69,16.67979,-0.77271,0.03511,0.02199,0.98674,45.70914,14:30:00,21.55115
699,ema_9,ema_21,1,79,17.6544,2.47117,0.02757,0.19463,0.77579,16.17453,13:30:00,21.54949
1461,ema_9,ema_21,1,76,18.47708,3.41811,0.06027,0.07349,0.92525,31.8227,14:30:00,21.54814
428,ema_9,ema_21,1,75,17.01169,1.57794,0.00551,0.24798,0.51424,39.73302,13:30:00,21.51878
1942,ema_9,ema_21,1,69,14.68915,4.40054,0.03058,0.12209,0.47567,33.4767,13:30:00,21.43594
1581,ema_9,ema_21,1,76,9.16234,1.9441,0.00753,0.00459,0.47781,7.50786,13:30:00,21.41215
899,ema_9,ema_21,1,67,14.19522,1.10443,0.00648,0.18096,0.37866,22.3385,13:30:00,21.37753
65,ema_9,ema_21,1,73,7.2623,-3.09874,0.01598,0.11852,0.25921,38.35094,14:30:00,21.25248
1026,ema_9,ema_21,1,71,10.97493,2.08582,0.00551,0.00374,0.75616,17.9597,13:30:00,21.24202
379,ema_9,ema_21,1,53,11.79684,-1.60644,0.00796,0.24901,0.43807,52.73631,13:30:00,21.20457
759,ema_9,ema_21,1,69,14.04262,2.44021,0.05602,0.06479,0.85619,54.07997,14:30:00,21.16592
1584,ema_9,ema_21,0,69,17.47853,-0.59009,0.00519,0.09637,0.49427,21.47326,13:30:00,21.11784
213,ema_9,ema_21,0,78,16.31328,2.55964,0.03018,0.14769,0.81541,22.21309,14:30:00,21.06998
264,ema_9,ema_21,1,76,12.0015,4.02278,0.00898,0.30002,0.86679,39.88105,13:30:00,21.06913
211,ema_9,ema_21,0,76,16.75195,4.98678,0.00695,0.16447,0.40066,26.85439,14:30:00,21.02237
445,ema_9,ema_21,1,71,13.51606,2.85466,0.00751,0.0968,0.28405,21.06467,13:30:00,20.9883
1372,ema_9,ema_21,1,71,19.61672,1.29905,0.00506,0.31516,0.929,57.01456,14:30:00,20.84875
1552,ema_9,ema_21,1,68,10.74753,0.0849,0.01305,0.17341,0.39725,15.17474,13:30:00,20.81605
255,ema_9,ema_21,1,78,17.41467,-1.79224,0.00553,0.02003,0.53847,17.39088,14:30:00,20.80815
916,ema_9,ema_21,1,66,18.68554,4.40684,0.02668,0.03084,0.77924,27.27631,14:30:00,20.80432
918,ema_9,ema_21,1,79,6.93484,0.8408,0.00591,0.03008,0.30669,36.62449,13:30:00,20.77849
279,ema_9,ema_21,1,64,18.15772,2.0436,0.00715,0.30072,0.59199,27.58221,14:30:00,20.76011
196,ema_9,ema_21,0,56,15.49418,3.55018,0.04035,0.02165,0.07118,49.91367,14:30:00,20.66158
1540,ema_9,ema_21,1,69,17.66795,1.3406,0.01552,0.06267,0.48712,15.43963,13:30:00,20.60769
854,ema_9,ema_21,0,77,16.62796,-0.30771,0.01342,0.00271,0.2408,34.62546,13:30:00,20.54242
690,ema_9,ema_21,1,62,10.33526,0.75609,0.00649,0.08566,0.50507,26.93542,13:30:00,20.54112
726,ema_9,ema_21,1,80,18.97469,1.82945,0.01172,0.06862,0.54679,25.75195,13:30:00,20.45211
1497,ema_9,ema_21,1,68,12.78972,1.15295,0.03521,0.1267,0.55503,29.37731,13:30:00,20.40917
143,ema_9,ema_21,0,65,16.73342,2.67406,0.0137,0.11484,0.01537,40.90836,14:30:00,20.36384
565,ema_9,ema_21,0,74,13.99619,3.22665,0.01159,0.28457,0.63053,52.16273,13:30:00,20.32638
1758,ema_9,ema_21,1,64,19.98614,0.54161,0.03004,0.01385,0.95534,39.82454,13:30:00,20.31008
1665,ema_9,ema_21,1,69,9.42598,0.70115,0.01034,0.05072,0.53057,41.73526,13:30:00,20.20152
598,ema_9,ema_21,1,79,9.26669,-1.69806,0.01202,0.14882,0.41351,28.46154,13:30:00,20.14731
917,ema_9,ema_21,0,73,15.9976,4.27593,0.04225,0.07449,0.86267,55.46896,14:30:00,20.1442
1426,ema_9,ema_21,1,78,19.28771,-0.04995,0.00948,0.14853,0.76398,20.91421,14:30:00,20.08693
828,ema_9,ema_21,0,79,18.82597,0.33004,0.02263,0.03932,0.83647,59.22025,13:30:00,20.08321
842,ema_9,ema_21,1,78,9.45773,1.04919,0.01141,0.24119,0.43197,33.84704,13:30:00,20.04411
442,ema_9,ema_21,1,66,17.14392,1.10216,0.01107,0.02187,0.94039,52.4756,14:30:00,20.00372
251,ema_9,ema_21,1,73,12.06018,2.96438,0.00661,0.56732,0.68173,37.67921,14:30:00,19.96845
1310,ema_9,ema_21,1,64,10.72619,-0.50198,0.0192,0.02692,0.74501,29.88428,13:30:00,19.88615
1413,ema_9,ema_21,1,78,9.87533,2.36532,0.01789,0.04257,0.58855,9.42422,13:30:00,19.87898
806,ema_9,ema_21,0,67,12.62916,1.00789,0.01205,0.04713,0.99705,56.47492,13:30:00,19.86594
715,ema_9,ema_21,1,76,15.4194,4.70741,0.02715,0.09423,0.82267,26.33599,13:30:00,19.83438
1352,ema_9,ema_21,1,78,19.91278,0.91934,0.04128,0.03838,0.83768,42.04653,14:30:00,19.79961
1344,ema_9,ema_21,1,79,8.96025,3.49743,0.0711,0.07249,0.18756,7.12021,13:30:00,19.77805
780,ema_9,ema_21,1,64,17.51188,-1.06685,0.00522,0.0422,0.86134,35.29108,13:30:00,19.77613
1380,ema_9,ema_21,1,80,15.14414,3.62059,0.01799,0.3177,0.7102,24.88206,14:30:00,19.75051
1732,ema_9,ema_21,1,62,10.60836,-0.93786,0.00673,0.32044,0.39882,38.33308,13:30:00,19.74633
1493,ema_9,ema_21,1,79,9.03723,-1.31869,0.02743,0.00323,0.43669,28.07881,13:30:00,19.74268
268,ema_9,ema_21,1,79,18.26465,1.71774,0.00899,0.01104,0.41581,51.95271,13:30:00,19.73988
865,ema_9,ema_21,1,78,15.80941,3.72903,0.00565,0.0535,0.26544,11.32107,13:30:00,19.69295
227,ema_9,ema_21,0,74,14.21518,3.85073,0.03838,0.04986,0.13123,46.60379,14:30:00,19.54547
1387,ema_9,ema_21,1,70,10.04327,-0.91675,0.01419,0.00706,0.51126,18.25265,13:30:00,19.54484
608,ema_9,ema_21,1,80,11.53929,-0.47371,0.0071,0.35414,0.93494,36.37554,14:30:00,19.50885
563,ema_9,ema_21,1,76,8.37072,2.20799,0.00837,0.33013,0.23671,22.9024,13:30:00,19.49674
1609,ema_9,ema_21,1,80,17.105,2.49077,0.02721,0.12331,0.66817,33.9207,13:30:00,19.47078
405,ema_9,ema_21,1,63,15.3511,3.89721,0.00991,0.02479,0.89034,47.01618,13:30:00,19.46797
1640,ema_9,ema_21,1,67,10.13737,0.42644,0.04635,0.04006,0.60391,16.89216,13:30:00,19.35857
178,ema_9,ema_21,0,66,19.89129,4.54548,0.02296,0.00351,0.05784,51.73185,14:30:00,19.11566
1716,ema_9,ema_21,1,66,8.91448,0.58555,0.00744,0.03195,0.40791,21.90701,13:30:00,19.05024
