trial,reset_peak,rsi_min_thresh,rsi_max_thresh,vol_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,tc_pair,avg_daily_pnl
321,0,37,72,3.82897,48.22126,1.27486,-9.25562,0.21988,0.5907,13.97524,ema_9|ema_21,10.65489
242,0,11,76,3.84242,48.12925,0.27458,-8.94589,0.20101,0.76302,12.73057,ema_9|ema_21,10.47373
224,0,32,77,3.77189,48.01848,0.22913,-9.04542,0.25182,0.72002,17.37681,ema_9|ema_21,10.46062
286,0,33,75,3.85609,48.17601,0.15381,-8.755,0.231,0.82291,16.73841,ema_9|ema_21,10.42387
172,0,34,71,3.76096,48.25235,1.37837,-9.29213,0.24194,0.80365,12.33466,ema_9|ema_21,10.35589
34,0,19,76,3.784,48.05893,0.82015,-7.3271,0.21814,0.9421,13.63914,ema_9|ema_21,10.29851
43,0,24,72,3.84447,48.43513,1.56462,-9.56564,0.22882,0.85189,17.7693,ema_9|ema_21,10.21199
211,0,33,76,3.80086,47.64328,0.19341,-8.66196,0.25339,0.63071,12.27609,ema_9|ema_21,10.19857
171,0,35,72,3.81892,48.33902,1.35914,-9.60985,0.23613,0.82673,12.31273,ema_9|ema_21,10.13163
231,0,30,77,3.80336,48.34202,0.21658,-8.99793,0.24051,0.73865,17.37132,ema_9|ema_21,10.11969
204,0,33,75,3.85084,48.39661,1.00439,-9.30736,0.22381,0.67545,12.02168,ema_9|ema_21,10.09296
181,0,35,71,3.85418,48.63875,1.05194,2.35604,0.21174,0.91066,11.61849,ema_9|ema_21,10.07889
228,0,30,76,3.78526,48.50807,0.25918,-8.74371,0.21856,0.71564,16.93874,ema_9|ema_21,10.06855
169,0,34,74,3.8213,48.3551,1.32279,-9.30437,0.21008,0.83328,12.33664,ema_9|ema_21,10.05505
276,0,36,74,3.80616,48.65983,0.14725,-9.24285,0.20864,0.7621,15.51594,ema_9|ema_21,10.05122
285,0,33,75,3.80367,47.63613,0.14932,-5.89892,0.23463,0.78177,16.70975,ema_9|ema_21,10.03499
267,0,34,77,3.77271,48.33879,0.20619,-8.79357,0.2648,0.82551,15.26853,ema_9|ema_21,10.00535
92,0,29,76,3.78913,48.99996,1.17312,-2.54631,0.21897,0.94843,11.79967,ema_9|ema_21,10.00287
223,0,31,77,3.77064,47.99269,0.2461,-9.09684,0.24673,0.72355,16.76956,ema_9|ema_21,9.96923
310,0,31,74,3.82478,47.49729,0.27338,-9.50534,0.31537,0.74406,12.60257,ema_9|ema_21,9.92575
252,0,34,76,3.73732,48.16732,0.25921,-9.14708,0.23053,0.74392,19.19244,ema_9|ema_21,9.88787
212,0,33,74,3.82061,47.49786,0.21704,-8.7017,0.219,0.67335,12.1598,ema_9|ema_21,9.88119
271,0,35,76,3.74897,48.60278,0.21844,-9.05315,0.22645,0.80272,18.88373,ema_9|ema_21,9.87946
178,0,32,71,3.85004,48.59949,1.02429,-9.97932,0.1777,0.90881,12.40593,ema_9|ema_21,9.85844
71,0,28,75,3.7843,48.99204,1.01216,-9.07526,0.14914,0.59097,13.94352,ema_9|ema_21,9.85467
260,0,35,75,3.73703,48.59686,0.1741,-8.28127,0.25259,0.7726,12.19288,ema_9|ema_21,9.83818
289,0,33,75,3.84341,47.67789,0.16596,-7.79642,0.22794,0.81755,19.09913,ema_9|ema_21,9.82809
258,0,35,77,3.68435,48.6565,0.16743,-5.833,0.25953,0.76455,11.71604,ema_9|ema_21,9.82074
278,0,36,74,3.68875,48.2103,0.14523,-8.78167,0.21213,0.7476,16.71862,ema_9|ema_21,9.81376
218,0,34,78,3.7804,47.43503,0.21056,-9.11927,0.24771,0.7279,17.46898,ema_9|ema_21,9.80815
255,0,34,75,3.75733,48.44278,0.20093,-9.25102,0.20004,0.76141,12.1882,ema_9|ema_21,9.80675
82,0,50,74,3.84052,49.88786,1.71061,-9.31589,0.26121,0.46578,11.97357,ema_9|ema_21,9.78029
81,0,33,75,3.78286,48.96555,1.38891,-9.17668,0.22491,0.52516,11.98736,ema_9|ema_21,9.77099
213,0,33,75,3.7788,47.37258,0.22821,-8.6198,0.25062,0.66556,12.21029,ema_9|ema_21,9.76742
249,0,30,78,3.75519,47.97631,0.2206,-9.59309,0.20157,0.74858,11.91888,ema_9|ema_21,9.73296
202,0,31,76,3.83018,47.8457,0.10063,-9.67442,0.1628,0.70424,12.75234,ema_9|ema_21,9.68775
221,0,30,76,3.85007,47.77436,0.25402,-9.22064,0.22796,0.73782,17.58968,ema_9|ema_21,9.68421
244,0,17,78,3.86587,47.91506,0.22938,-9.50032,0.21654,0.78911,19.0158,ema_9|ema_21,9.6806
105,0,30,69,3.81484,47.41099,1.68778,-1.46613,0.26201,0.38484,4.70398,ema_9|ema_21,9.62361
302,0,33,76,3.86762,47.32978,0.24066,-9.41598,0.17849,0.84062,13.69214,ema_9|ema_21,9.58718
161,0,33,73,3.87045,48.39666,1.15968,-9.9824,0.11295,0.8943,4.91956,ema_9|ema_21,9.57368
147,0,31,75,3.83346,48.56704,1.6941,-8.53141,0.09718,0.90769,12.59719,ema_9|ema_21,9.53752
162,0,35,73,3.83061,47.85868,1.17296,-9.70902,0.13637,0.88942,4.4165,ema_9|ema_21,9.53749
237,0,31,76,3.81793,49.98073,0.21926,-9.52935,0.27784,0.68516,17.37643,ema_9|ema_21,9.51986
42,0,25,73,3.82592,47.79419,0.64472,-9.89818,0.14216,0.94501,17.50075,ema_9|ema_21,9.4987
153,0,33,76,3.82814,47.53745,1.36325,-8.44528,0.11358,0.88989,5.53734,ema_9|ema_21,9.47871
97,0,41,75,3.83155,48.61203,0.93223,-1.87569,0.1112,0.46187,13.08504,ema_9|ema_21,9.47824
182,0,35,70,3.86796,48.39659,0.99072,1.20957,0.16758,0.90487,11.69451,ema_9|ema_21,9.45684
54,0,33,76,3.75558,47.44119,1.12347,-8.16634,0.26043,0.94932,13.12522,ema_9|ema_21,9.45231
198,0,32,76,3.76859,47.2416,0.83918,-9.73145,0.16002,0.62167,12.50092,ema_9|ema_21,9.43441
125,0,30,60,3.77697,48.63271,1.05384,-4.22752,0.0881,0.93191,4.73205,ema_9|ema_21,9.41152
234,0,30,78,3.68243,47.98075,0.29283,-9.38227,0.21391,0.71849,15.93354,ema_9|ema_21,9.39175
166,0,33,73,3.8144,49.9916,1.12074,-9.68941,0.21908,0.81822,12.34993,ema_9|ema_21,9.38433
165,0,33,73,3.81198,49.92454,1.14682,-9.7036,0.19624,0.84681,11.78713,ema_9|ema_21,9.37739
239,0,32,79,3.6911,48.99054,0.17328,-9.24141,0.20784,0.65779,17.56748,ema_9|ema_21,9.37585
