trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_mode,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
1319,0.02014,0.00523,0.06307,10.00012,7.52647,median_nonzero,0,0,69,8.54346,0.30586,-2.04118,0.00527,0.01163,17.09319,1530639300997.0586
1200,0.01987,0.00509,0.06277,10.00007,7.50006,median_nonzero,0,0,68,8.58367,0.30449,-1.93335,0.00501,0.01048,17.23026,1530110477616.7566
1252,0.02003,0.00518,0.06242,10.00003,7.52799,median_nonzero,0,0,69,8.59467,0.30016,-1.99091,0.00526,0.0116,17.49263,1529928053942.4873
1202,0.02003,0.00508,0.06274,10.00029,7.54918,median_nonzero,0,0,69,8.56743,0.3078,-1.9542,0.00501,0.0105,17.3505,1529651977853.2937
1176,0.01967,0.00509,0.06212,10.00016,7.5007,median_nonzero,0,0,68,8.53592,0.30031,-1.95356,0.00524,0.01055,16.01899,1529213141010.0674
1220,0.02006,0.00518,0.06298,10.00037,7.55109,median_nonzero,0,0,70,8.55009,0.30676,-1.97317,0.00575,0.01096,17.39993,1528121544378.4587
817,0.01755,0.00529,0.0641,10.00033,7.50018,median_nonzero,0,0,68,8.627,0.30595,-1.85393,0.0055,0.01046,16.80901,1527554980559.1548
1295,0.02022,0.00517,0.06239,10.00016,7.54775,median_nonzero,0,0,67,8.55035,0.30711,-1.98969,0.00567,0.01163,17.34688,1526990232085.0728
1186,0.01951,0.00515,0.06203,10.00003,7.53051,median_nonzero,0,0,68,8.57922,0.30334,-1.94943,0.00543,0.01003,16.5663,1526888666962.31
814,0.01752,0.005,0.06412,10.00009,7.50018,median_nonzero,0,0,69,8.57628,0.30024,-1.7995,0.00531,0.01055,16.10016,1526662842426.454
1113,0.0175,0.00508,0.06469,10.00019,7.50049,median_nonzero,0,0,68,8.54859,0.30558,-1.94041,0.00571,0.01054,16.56316,1526415739585.121
1150,0.01741,0.00517,0.06423,10.00016,7.52654,median_nonzero,0,0,68,8.5809,0.30312,-1.85246,0.00501,0.01103,16.85451,1525986428643.903
1166,0.01954,0.00507,0.06262,10.00021,7.50019,median_nonzero,0,0,67,8.55195,0.30297,-1.9318,0.00564,0.01063,16.59979,1525314784793.2903
909,0.01721,0.00509,0.064,10.0001,7.52835,median_nonzero,0,0,68,8.56514,0.30956,-1.85856,0.00531,0.01002,17.39687,1525293358446.6157
950,0.01786,0.00523,0.06392,10.00008,7.55835,median_nonzero,0,0,69,8.62162,0.3099,-1.87733,0.0053,0.01055,16.71794,1525255542250.106
964,0.01782,0.00523,0.06439,10.00004,7.50102,median_nonzero,0,0,69,8.70451,0.30962,-1.8297,0.0054,0.01043,16.61104,1525124977288.3833
1244,0.01957,0.00509,0.06264,10.00023,7.50014,median_nonzero,0,0,66,8.57282,0.30022,-1.91993,0.00547,0.01001,17.2429,1525064134707.8853
1264,0.01981,0.00524,0.06273,10.00004,7.59379,median_nonzero,0,0,70,8.58858,0.30011,-1.92565,0.00525,0.01064,17.27915,1524984458553.281
825,0.01733,0.00528,0.06413,10.0002,7.50169,median_nonzero,0,0,67,8.62108,0.30472,-1.88957,0.00553,0.01071,16.58377,1524864731591.9834
1164,0.01919,0.00508,0.06256,10.00006,7.52651,median_nonzero,0,0,67,8.60824,0.30462,-1.89404,0.00501,0.01052,16.61099,1524840944966.601
739,0.01686,0.00532,0.06514,10.00041,7.52629,median_nonzero,0,0,69,8.60225,0.32926,-1.70642,0.00593,0.0106,13.92121,1524810835147.7454
986,0.01761,0.00509,0.0644,10.00007,7.50032,median_nonzero,0,0,68,8.67946,0.31076,-1.84486,0.0059,0.01002,17.0573,1524669532504.2993
827,0.01771,0.00545,0.06346,10.00005,7.50451,median_nonzero,0,0,66,8.62475,0.30588,-1.91114,0.00517,0.01004,17.0053,1524622179089.9998
1238,0.01974,0.00501,0.06266,10.00021,7.57633,median_nonzero,0,0,68,8.58474,0.30315,-1.92393,0.00529,0.01051,17.33675,1524573221609.4
957,0.01771,0.00516,0.06452,10.00015,7.50011,median_nonzero,0,0,69,8.63071,0.30881,-1.8525,0.00565,0.01106,16.98443,1524528989922.5664
914,0.01684,0.00501,0.06355,10.00018,7.53451,median_nonzero,0,0,67,8.61268,0.30876,-1.83853,0.00501,0.01065,16.95851,1524369814874.1624
