TimeStamp,adx_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,37.912,348.73,348.82,348.64,13332.0,1,-348.82,-0.18,Buy
2025-05-20 15:31:00,34.394,350.04,350.24,350.02,13941.0,1,-348.82,1.2,Hold
2025-05-20 15:32:00,43.626,351.59,351.73,351.55,13206.0,1,-348.82,2.73,Hold
2025-05-20 15:33:00,48.145,352.23,352.35,352.23,9064.0,1,-348.82,3.41,Hold
2025-05-20 15:34:00,55.226,352.4,352.46,352.35,12475.0,1,-348.82,3.53,Hold
2025-05-20 15:35:00,53.495,353.58,353.69,353.57,10160.0,1,-348.82,4.75,Hold
2025-05-20 15:36:00,61.617,354.08,354.26,354.08,9881.0,1,-348.82,5.26,Hold
2025-05-20 15:37:00,54.601,353.4,353.47,353.34,6453.0,1,-348.82,4.52,Hold
2025-05-20 15:38:00,38.803,354.15,354.16,354.08,7608.0,1,-348.82,5.26,Hold
2025-05-20 15:39:00,36.769,354.07,354.2,354.03,7461.0,1,-348.82,5.21,Hold
2025-05-20 15:40:00,11.843,351.58,351.65,351.6,8032.0,1,-348.82,2.78,Hold
2025-05-20 15:41:00,-0.968,350.86,350.87,350.77,11217.0,0,1.95,1.95,Sell
2025-05-20 15:42:00,-4.734,351.22,351.24,351.08,10154.0,0,1.95,1.95,Hold
2025-05-20 15:43:00,-4.226,349.93,350.0,349.88,6688.0,0,1.95,1.95,Hold
2025-05-20 15:44:00,-7.387,349.93,349.97,349.9,6826.0,0,1.95,1.95,Hold
2025-05-20 15:45:00,-8.379,349.54,349.58,349.5,5487.0,0,1.95,1.95,Hold
2025-05-20 15:46:00,-17.21,347.22,347.37,347.22,8742.0,0,1.95,1.95,Hold
2025-05-20 15:47:00,-25.549,345.21,345.31,345.19,11433.0,0,1.95,1.95,Hold
2025-05-20 15:48:00,-25.812,346.47,346.47,346.38,8549.0,0,1.95,1.95,Hold
2025-05-20 15:49:00,-24.684,345.98,346.08,345.91,6489.0,0,1.95,1.95,Hold
2025-05-20 15:50:00,-27.841,344.68,344.68,344.61,7862.0,0,1.95,1.95,Hold
2025-05-20 15:51:00,-32.748,344.23,344.23,344.13,9286.0,0,1.95,1.95,Hold
2025-05-20 15:52:00,-22.466,345.89,345.96,345.85,8287.0,0,1.95,1.95,Hold
2025-05-20 15:53:00,-20.161,345.2,345.24,345.1,6529.0,0,1.95,1.95,Hold
2025-05-20 15:54:00,-18.13,345.78,345.85,345.78,5576.0,0,1.95,1.95,Hold
2025-05-20 15:55:00,-19.229,344.55,344.66,344.55,4603.0,0,1.95,1.95,Hold
2025-05-20 15:56:00,-21.486,344.59,344.68,344.59,5335.0,0,1.95,1.95,Hold
2025-05-20 15:57:00,-18.073,344.47,344.54,344.43,3915.0,0,1.95,1.95,Hold
2025-05-20 15:58:00,-24.965,343.34,343.37,343.31,8967.0,0,1.95,1.95,Hold
2025-05-20 15:59:00,-23.997,344.35,344.3,344.16,4984.0,0,1.95,1.95,Hold
2025-05-20 16:00:00,-14.496,345.6,345.6,345.52,5387.0,0,1.95,1.95,Hold
2025-05-20 16:01:00,-13.294,344.68,344.68,344.55,4697.0,0,1.95,1.95,Hold
2025-05-20 16:02:00,-13.623,344.2,344.26,344.14,3471.0,0,1.95,1.95,Hold
2025-05-20 16:03:00,-13.09,344.64,344.7,344.58,3571.0,0,1.95,1.95,Hold
2025-05-20 16:04:00,-10.694,344.42,344.43,344.29,3236.0,0,1.95,1.95,Hold
2025-05-20 16:05:00,-6.663,345.37,345.4,345.29,4216.0,0,1.95,1.95,Hold
2025-05-20 16:06:00,-5.955,344.7,344.77,344.62,3334.0,0,1.95,1.95,Hold
2025-05-20 16:07:00,-10.407,344.18,344.22,344.06,4957.0,0,1.95,1.95,Hold
2025-05-20 16:08:00,-9.942,344.15,344.2,344.06,2323.0,0,1.95,1.95,Hold
2025-05-20 16:09:00,-11.719,343.37,343.45,343.32,2350.0,0,1.95,1.95,Hold
2025-05-20 16:10:00,-12.42,343.87,343.95,343.8,4552.0,0,1.95,1.95,Hold
2025-05-20 16:11:00,-9.692,344.23,344.25,344.13,2742.0,0,1.95,1.95,Hold
2025-05-20 16:12:00,-8.957,344.5,344.56,344.46,2499.0,0,1.95,1.95,Hold
2025-05-20 16:13:00,-6.061,344.7,344.74,344.67,3762.0,0,1.95,1.95,Hold
2025-05-20 16:14:00,-5.421,344.65,344.7,344.61,2802.0,0,1.95,1.95,Hold
2025-05-20 16:15:00,-4.111,345.08,345.1,345.02,2482.0,0,1.95,1.95,Hold
2025-05-20 16:16:00,-3.112,344.82,344.86,344.78,2769.0,0,1.95,1.95,Hold
2025-05-20 16:17:00,-3.155,345.17,345.2,345.12,2393.0,0,1.95,1.95,Hold
2025-05-20 16:18:00,1.637,346.15,346.17,346.11,5557.0,1,-344.22,1.89,Buy
2025-05-20 16:19:00,1.397,345.69,345.72,345.65,3305.0,1,-344.22,1.43,Hold
2025-05-20 16:20:00,3.099,346.73,346.78,346.73,3523.0,1,-344.22,2.51,Hold
2025-05-20 16:21:00,4.131,346.5,346.54,346.48,6404.0,1,-344.22,2.26,Hold
2025-05-20 16:22:00,3.91,347.0,347.04,346.94,3688.0,1,-344.22,2.72,Hold
2025-05-20 16:23:00,4.023,346.98,347.0,346.95,2822.0,1,-344.22,2.73,Hold
