,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal_raw,signal_norm,signal_scaled,signal_smooth,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2024-12-31 13:13:00,191.9708,192.0784,191.8171,191.96,768.0,192.0176,191.9025,191.9,191.95,191.7441,191.95,1039.0,192.0076,191.8924,0.0,0.0,0.0,3.2624413302196135e-05,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:14:00,191.9667,192.074,191.8079,191.9525,770.0,192.0101,191.8949,192.08,192.08,191.87,191.95,234.0,192.0076,191.8924,0.0,0.0,0.0,0.00010184904486848628,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:15:00,191.9589,192.0662,191.7991,191.9449,762.0,192.0025,191.8873,191.95,191.97,191.87,191.96,51.0,192.0176,191.9024,0.0,0.0,0.0,0.00025052281173283496,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:16:00,191.9511,192.0601,191.7908,191.9388,753.0,191.9964,191.8812,191.95,192.02,191.8915,192.0,68.0,192.0576,191.9424,0.0,0.0,0.0,0.00047032467453956656,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:17:00,191.9442,192.0543,191.7847,191.9313,747.0,191.9888,191.8737,191.95,192.05,191.95,191.98,68.0,192.0376,191.9224,0.0,0.0,0.0,0.0005859539153468534,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:18:00,191.9374,192.0477,191.7772,191.9237,751.0,191.9813,191.8661,191.99,192.0,191.95,191.95,202.0,192.0076,191.8924,0.0,0.0,0.0,0.0006553323241763643,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:19:00,191.9304,192.0407,191.7684,191.9174,742.0,191.9749,191.8598,191.9738,191.9738,191.78,191.9,141.0,191.9576,191.8424,0.0,0.0,0.0,0.0006553323241763643,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:20:00,191.9253,192.0363,191.7598,191.9093,737.0,191.9669,191.8517,191.94,192.0,191.78,191.82,368.0,191.8775,191.7625,0.0,0.0,0.0,0.0006553323241763643,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:21:00,191.9158,192.0308,191.7492,191.9005,743.0,191.9581,191.843,191.8,191.9643,191.715,191.79,298.0,191.8475,191.7325,0.0,0.0,0.0,0.0006553323241763643,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:22:00,191.9078,192.0267,191.7387,191.8964,743.0,191.9539,191.8388,191.82,191.98,191.72,191.98,6.0,192.0376,191.9224,0.0,0.0,0.0,0.0006553323241763643,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:23:00,191.9019,192.0232,191.7319,191.893,743.0,191.9505,191.8354,191.9,192.0,191.85,192.0,58.0,192.0576,191.9424,0.0,0.0,0.0,0.0006553323241763643,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:24:00,191.8968,192.0181,191.7268,191.8881,752.0,191.9457,191.8305,192.0,192.0,191.93,191.94,360.0,191.9976,191.8824,0.0,0.0,0.0,0.0006553323241763643,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:25:00,191.8917,192.0125,191.7198,191.8811,754.0,191.9387,191.8236,191.98,191.98,191.855,191.855,108.0,191.9126,191.7974,0.0,0.0,0.0,0.0006553323241763643,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
